gloss,spoken,form
채널 멤버십 가입 생각 중 .,채널 멤버십 가입 생각 중이야.,b
금요일 보고서 제출 팀 알리다 .,금요일까지 보고서 제출하라고 팀에 알려줘.,b
아이 학교 성적 좋다 .,아이 학교 성적 좋더라고.,b
이 곳 처음이다 .,이 곳은 처음이야,b
아기 새 신발 사주다 .,아기에게 새로운 신발을 사줬어.,b
아침 일찍 일어나다 운동하다 .,아침에 일찍 일어나서 운동했어,b
친구 함께 쇼핑몰 가다 있다 .,친구와 함께 쇼핑몰에 갔었어.,b
세상 아직 알다 못하다 비밀 많다 .,세상에는 아직 알 수 없는 비밀이 많아,b
미용실 머리 자르다 오다 .,미용실에서 머리를 자르고 왔어,b
대기 시간 길다 .,대기 시간 길어.,b
팀 어떻게 나누다 좋다 ?,팀을 어떻게 나누면 좋겠어?,b
세금 인상 논의 진행 중 .,세금 인상에 대한 논의가 진행 중이야.,b
출국 심사 대기 중이다 .,출국 심사 대기 중이야.,b
너 진심 ?,너 진심이야?,b
행운 아이콘 발견하다 .,행운의 아이콘을 발견했어,b
자신 인생 직접 만들다 가다 .,자신의 인생을 직접 만들어가,b
내일 오전 10시 의사 약속 있다 .,내일 오전 10시에 의사와 약속이 있어,b
만화책 대여 하다 곳 알다 ?,만화책 대여하는 곳 알아?,b
컴파일 에러 해결 중이다 .,컴파일 에러를 해결 중이야.,b
오늘 회의록 확인 .,오늘 회의록 꼭 확인해줘.,b
식당 무엇 먹다 고민이다 .,식당에서 뭘 먹을지 고민이야.,b
곧 저녁 6시 되다 준비하다 .,곧 저녁 6시가 되니까 준비해,b
우리 세계 다양하다 존중하다 되다 .,우리는 세계의 다양성을 존중해야 해,b
게임 내 아이템 구입 하다 ?,게임 내 아이템 구입했어?,b
토끼 키우다 싶다 .,토끼를 키우고 싶어,b
세수 후 스킨케어하다 .,세수 후에는 스킨케어를 해,b
약속 시간 10분 전 도착하다 .,약속 시간 10분 전에 도착할게,b
10년 전 이사 오다 .,10년 전에 이사 왔어,b
날씨 덥다 아이스크림 먹다 .,날씨가 더워서 아이스크림 먹었어.,b
아이 피아노 배우다 싶다 하다 .,아이가 피아노 배우고 싶다고 해.,b
아이 스티커북 선물 하다 .,아이들에게 스티커북 선물했어.,b
조기 퇴근 가능 ?,조기 퇴근 가능해?,b
내일 약속 기대하다 .,내일의 약속을 기대해,b
소파 쉬다 오다 .,소파에 쉬다 왔어.,b
나 민속무용 배우다 있다 .,난 민속무용을 배우고 있어.,b
그 과제 언제까지 제출하다 ?,그 과제 언제까지 제출해야 해?,b
할머니 전화 하다 보다 ?,할머니한테 전화 좀 해볼래?,b
우체국 앞 너 기다리다 .,우체국 앞에서 너를 기다릴게.,b
오늘 방송 무엇 하다 ?,오늘 방송은 뭐할까?,b
다음 주 친척 오다 알다 ?,"다음 주에 친척들이 올 거야, 알고 있어?",b
행운 신발 신다 .,행운의 신발을 신었어,b
아기 콧물 나오다 걱정 하다 .,아기가 콧물이 나와 걱정이야.,b
허브 키우다 나 휴식 있다 .,허브 키우는 건 내게 휴식이야.,b
나 좀 기다리다 ?,나 좀 기다려줄래?,b
그 연예인 이 방송 자주 출연 하다 .,그 연예인은 이 방송에 자주 출연해.,b
함수 최적화 하다 되다 .,함수 최적화해야 해.,b
세상 너무 복잡하다 되다 있다 .,세상은 너무 복잡해지고 있어,b
내일 무엇 하다 예정 ?,내일 뭐 할 예정이야?,b
아이 동화책 읽다 좋아하다 .,아이에게 동화책 읽어주면 좋아해.,b
매일 같다 운동 하다 안 좋다 .,매일 같은 운동만 하면 안 좋아.,b
교내 경쟁 심하다 .,교내에서 경쟁이 심해.,b
그 추억 속 나 행복하다 .,그 추억 속에서 나는 행복했어.,b
이번 주 트레이닝 스케줄 알다 주다 ?,이번 주 트레이닝 스케줄 알려줄 수 있어?,b
그 게임 싱글플레이어만 되다 ?,그 게임 싱글플레이어만 되나?,b
메모리 누수 문제 해결 하다 .,메모리 누수 문제를 해결했어.,b
이 책 추천하다 재미있다 .,이 책 추천해. 정말 재미있어.,b
희망 우리 앞 나아가다 하다 .,희망은 우리를 앞으로 나아가게 해.,b
너 같이 여행 가다 싶다 .,너랑 같이 여행 가고 싶어.,b
말하다 전 생각 좀 하다 .,말하기 전에 생각 좀 해봐.,b
집 오다 휴대폰 충전하다 .,집에 돌아오면 휴대폰을 충전해,b
환전소 돈 바꾸다 .,환전소에서 돈 바꿨어.,b
아이 휴가 어디 가다 ?,아이들과 휴가 어디 갈까?,b
청소당번 목록 어디 있다 ?,청소당번 목록 어디 있어?,b
우리 팀 행운 필요하다 .,우리 팀에는 행운이 필요해,b
자연 인간 힐링 장소이다 .,자연은 인간의 힐링 장소야,b
비행모드 전화 바꾸다 .,비행모드로 전화 바꿨어.,b
그 게임 플랫폼 무엇 이다 ?,그 게임 플랫폼 뭐야?,b
금요일 회사 앞 보다 .,금요일에 회사 앞에서 보자,b
기술 발전 빠르다 .,기술의 발전은 빠르다,b
나 그 추억 항상 품다 살다 .,나는 그 추억을 항상 품에 안고 살아.,b
휴가 때 여행 가다 .,휴가 때 여행 가려고 해,b
10분 후 만나다 .,10분 후에 만나자,b
오늘 무엇 하다 ?,오늘은 뭐 했어?,b
약속 잊어버리다 .,약속을 잊어버렸어,b
컴퓨터 게임하다 시간 보내다 .,컴퓨터로 게임하면서 시간을 보냈어,b
약속 있다 빨리 나가다 .,약속이 있어서 빨리 나가야 해,b
비행기 연착 되다 .,비행기 연착 됐어.,b
성공 기쁨 느끼다 .,성공의 기쁨을 느껴,b
행운 깃털 발견하다 .,행운의 깃털을 발견했어,b
댓글 의견 남기다 보다 ?,댓글에 의견을 남겨볼까?,b
아마존 정글 여행 힘들다 가치 있다 .,아마존 정글 여행은 힘들었지만 가치가 있었어.,b
3월 1일 삼일절이다 .,3월 1일은 삼일절이야,b
브라질 카니발 화려하다 .,브라질의 카니발은 정말 화려했어.,b
행복 작다 순간 있다 .,행복은 작은 순간에 있어,b
여기 앉다 괜찮다 ?,여기 앉아도 돼?,b
나중 연락하다 .,나중에 연락할게,b
레벨 얼마 올리다 ?,레벨 얼마나 올렸어?,b
내년 경제 침체 오다 ?,내년에는 경제 침체가 올까?,b
그 사회생활 항상 성실하다 .,그는 사회생활에서 항상 성실해.,b
실패 성공 걸음이다 .,실패는 성공으로의 한 걸음이야,b
나 좀 기다리다 주다 .,나 좀 기다려줘,b
아이 수학 문제 풀다 하다 .,아이에게 수학 문제 풀게 했어.,b
모든 순간 소중하다 .,모든 순간이 소중해,b
페럿 몸 길다 있다 .,페럿은 긴 몸을 가지고 있어,b
강아지 춥다 하다 짖다 .,강아지는 춥다 하면 짖어,b
집 요리하다 좋다 .,집에서 요리하는 걸 좋아해.,b
뉴스 보다 아침 먹다 .,뉴스를 보면서 아침식사를 했어,b
식당 점심 먹다 .,식당에서 점심을 먹었어,b
내일 라이브 방송 언제 시작 ?,내일 라이브 방송 언제 시작하나?,b
내 방 누가 들어가다 ?,내 방에 누가 들어갔어?,b
대회 때문 연습 많다 .,대회 때문에 연습이 많아.,b
새로운 책 시작 하다 재미있다 !,새로운 책을 시작했어. 아주 재미있어!,b
그것 진짜 좋다 !,그것 진짜 좋다!,b
세상 예측하다 못하다 변화 많다 .,세상은 예측할 수 없는 변화가 많아,b
방송 사고 때문 사과문 내놓다 하다 .,방송 사고로 인해서 사과문을 내놓았대.,b
오늘 무슨 특별하다 일 ?,오늘은 무슨 특별한 일이야?,b
여기 국물 요리 맛있다 !,여기 국물 요리가 맛있다!,b
아이 학교 친구 잘 지내다 ?,아이 학교에서 친구들과 잘 지내나?,b
오늘 점심 무엇 하다 먹다 ?,오늘 점심밥은 뭐 해먹을까?,b
교육 자료 나 준비하다 .,교육 자료는 내가 준비할게.,b
세상 아직 미지 땅 많다 .,세상에는 아직 미지의 땅도 많아,b
음식 나오다 오래 걸리다 .,음식 나올 때까지 오래 걸렸어.,b
결제 방법 무엇 있다 ?,결제 방법은 뭐가 있어?,b
추억 장소 다시 방문하다 싶다 .,추억의 장소에 다시 방문하고 싶어.,b
점심 12시 회의 있다 .,점심 12시에 회의가 있어,b
지금 어디 ?,지금 어디야?,b
우리 지속 가능 발전 추구하다 되다 .,우리는 지속가능한 발전을 추구해야 해,b
너 꿈 무엇 이다 ?,너의 꿈은 무엇이야?,b
주말 늦잠 자다 이다 .,주말에는 늦잠을 자곤 해,b
지금 TV 무엇 하다 있다 ?,지금 TV에 뭐 하고 있어?,b
그 추억 나 위로하다 주다 .,그 추억이 나를 위로해줘.,b
이 영화 재미있다 ?,이 영화 재미있어?,b
동생 컴퓨터 망가뜨리다 .,동생이 컴퓨터 망가뜨렸어.,b
나 매주 미술 수업 듣다 있다 .,나는 매주 미술 수업을 듣고 있어.,b
무슨 일 있다 ?,무슨 일 있었어?,b
친구 영화 보다 가다 .,친구와 영화를 보러 갔어,b
아기 첫 걸음마 걷다 .,아기 첫 걸음마 걷더라고.,b
방송 광고 이 제품 궁금하다 .,방송 광고 속 이 제품 궁금해.,b
회사 연매출 증가하다 .,회사의 연매출이 증가했어.,b
왜 늦다 연락하다 ?,왜 그렇게 늦게 연락했어?,b
아기 수영장 놀다 .,아기 수영장에서 놀았어.,b
서버 다운 되다 긴급 조치 하다 .,서버 다운돼서 긴급 조치했어.,b
코드 의존성 관리 중요하다 .,코드의 의존성 관리가 중요해.,b
나 술 마시다 안되다 .,나 술 못 마셔,b
다음 약속 때 어디 만나다 ?,다음 약속 때는 어디서 만날까?,b
데이터 분석 결과 리포트 하다 .,데이터 분석 결과를 리포트 했어.,b
노래방 노래 부르다 재미나다 놀다 .,노래방에서 노래를 부르며 재미있게 놀았어,b
무료 와이파이 사용 가능 ?,무료 와이파이 쓸 수 있어?,b
이 회사 유가증권시장 상장 .,이 회사는 유가증권시장에 상장됐어.,b
지난주 토요일 공원 가다 .,지난주 토요일에 공원에 갔어,b
행운 물방울 만지다 보다 ?,행운의 물방울을 만져봤어?,b
인증 방식 변경 하다 .,인증 방식을 변경했어.,b
친구 주말 쇼핑 가다 .,친구와 주말마다 쇼핑을 가,b
캐릭터 스킨 사다 ?,캐릭터 스킨 샀어?,b
토끼 풀 먹다 .,토끼는 풀을 먹어,b
어제 친구 영화 보다 .,어제 친구와 영화를 봤어,b
전자책 종이책 중 어느 것 선호 .,전자책과 종이책 중 어느 것을 선호하나?,b
이거 얼마 ?,이거 얼마야?,b
오늘 새 게임 나오다 ?,오늘 새 게임 나왔어?,b
핸드폰 배터리 빨리 닳다 .,핸드폰 배터리가 빨리 닳아.,b
내일 체육 수업 있다 .,내일은 체육 수업이야.,b
아침 알람 안 울리다 늦다 .,아침에 알람이 안 울려서 늦었어.,b
내일 무슨 계획 이다 ?,내일 무슨 계획이야?,b
저기 소리 나다 ?,저기서 무슨 소리 나?,b
방송 말미 좋다 노래 마무리 하다 .,방송 말미에 좋은 노래로 마무리했네.,b
스포츠 의류 추천 해주다 ?,스포츠 의류 추천해 줄 수 있어?,b
게이트 번호 바뀌다 .,게이트 번호 바뀌었어.,b
퇴근 전 이것 확인하다 주다 .,퇴근 전에 이것 좀 확인해줘.,b
멕시코 고대 아즈텍 문화 느끼다 .,멕시코에서는 고대 아즈텍 문화를 느꼈어.,b
그 영화 나 생각 좋다 않다 .,그 영화에 대한 나의 생각은 좋지 않아.,b
이 책 읽다 ? 꽤 재미있다 .,이 책 읽어봤어? 꽤 재밌던데.,b
러시아 백야 경험하다 가다 .,러시아의 백야를 경험하러 갔어.,b
날씨 좋다 테라스 먹다 싶다 .,날씨가 좋으니 테라스에서 먹고 싶어.,b
언니 내 숙제 도우다 !,"언니, 내 숙제 좀 도와줘!",b
와인 리스트 보여주다 가능 ?,와인 리스트를 보여줄 수 있을까?,b
장수 터틀 몇 년 살다 ?,장수 터틀은 몇 년을 살아?,b
나 여름 유럽 여행 계획 있다 .,나는 여름에 유럽 여행을 계획하고 있어.,b
아이 위하다 장난감 사다 .,아이들을 위해 장난감을 샀어.,b
누구 너 그 기술 가르치다 ?,누가 너에게 그 기술을 가르쳤나?,b
나 캠핑 갈다 때마다 새롭다 기분 있다 .,난 캠핑을 갈 때마다 새로운 기분이야.,b
언니 내 향수 사용하다 ?,언니가 내 향수 사용했어?,b
5월 마지막 주말 휴가 내다 .,5월의 마지막 주말에 휴가를 냈어,b
행운 펜던트 잃어버리다 .,행운의 펜던트를 잃어버렸어,b
어떤 음식 추천 가능 ?,어떤 음식을 추천해줄 수 있나?,b
나 강아지 이름 뽀삐이다 .,나의 강아지 이름은 뽀삐야,b
그 게임 어떻게 다운받다 ?,그 게임 어떻게 다운받아?,b
고양이 동료 고양이 잘 지내다 않다 .,고양이는 동료 고양이와 잘 지내지 않아,b
나 도자기 만들다 시작하다 .,나는 도자기 만들기를 시작했어.,b
주말 산책 좋아하다 .,주말에는 산책을 좋아해,b
고양이 쥐 잡다 .,고양이는 쥐를 잡아,b
내일 점심 만나다 ?,우리 내일 점심에 만날까?,b
문학 읽다 나 정신 풍부하다 .,문학을 읽는 것은 내 정신을 풍요롭게 해.,b
과학 우리 삶 더 나아지다 하다 .,과학은 우리 삶을 더 나아지게 해,b
약속 바꾸다 것 같다 .,약속 변경해야 할 것 같아,b
오늘 수업 내용 어렵다 .,오늘 수업 내용이 어려웠어.,b
헬스장 운동하다 피곤하다 .,헬스장에서 운동하느라 피곤했어,b
수영부 들어가다 생각하다 중 .,수영부에 들어가려고 생각 중이야.,b
튜토리얼 필수 이다 ?,튜토리얼은 필수야?,b
코드 버그 있다 .,코드에 버그가 있어.,b
애니메이션 나오다 보다 ?,애니메이션으로도 나왔던데 봤어?,b
오늘 약속 있다 바쁘다 .,오늘 약속이 있어서 바빠,b
인간 탐구 정신 무궁무진하다 .,인간의 탐구 정신은 무궁무진해,b
햄스터 집 작다 .,햄스터의 집은 작아,b
내일 다이어트 시작하다 있다 .,내일부터 다이어트 시작해야겠어.,b
수업 중 잠들다 안하다 .,수업 중에 잠들지 않아야 해.,b
이번 여름 해변 서핑 배우다 .,이번 여름에는 해변에서 서핑을 배울 거야.,b
중국 경제 빠르다 회복 중 .,중국 경제가 빠르게 회복 중이야.,b
이집트 닐강 크루즈 즐기다 .,이집트에서는 닐강을 따라 크루즈를 즐겼어.,b
모든 경험 소중하다 .,모든 경험은 소중해,b
전선 불타다 !,전선이 불타고 있어!,b
방송사 공식 홈페이지 다시 보다 있다 .,방송사 공식 홈페이지에서 다시 볼 수 있어.,b
편지 보내다 위해 우체국 가다 .,편지를 보내려면 우체국에 가야 해.,b
생일 한 해 한 번뿐이다 .,생일은 한 해에 한 번뿐이야,b
유튜브 추천 영상 목록 좋다 거 많다 .,유튜브 추천 영상 목록에 좋은 거 많아.,b
꿈 포기하다 않다 .,꿈을 포기하지 마,b
그 행운 끈 잡다 있다 .,그는 행운의 끈을 잡고 있어,b
사람 태어나다 때 악하다 ?,사람은 태어날 때부터 악한가?,b
행운 별 보다 ?,행운의 별을 봤어?,b
캐스팅 기능 사용 가능 ?,캐스팅 기능 사용할 수 있어?,b
요가 수업 참여하다 .,요가 수업에 참여했어,b
오늘 날씨 어떻다 ?,오늘 날씨 어때요?,b
요즘 너무 피곤하다 .,요즘 너무 피곤해,b
그 스포츠 용품점 할인 중 듣다 .,그 스포츠 용품점 할인 중이라고 들었어.,b
쇼핑 가다 .,쇼핑하러 가자,b
오늘 시험 준비 끝 ?,오늘 시험 준비 다 했어?,b
엄마 내 방 청소 도우다 .,"엄마, 내 방 청소 좀 도와줘.",b
최근 나오다 웹툰 무엇 있다 ?,최근에 나온 웹툰 뭐 있어?,b
아이 일찍 잠들다 .,아이가 일찍 잠들었어.,b
음식 신선하다 보이다 .,음식이 신선해 보여.,b
약속 시간 맞추다 출발하다 .,약속 시간에 맞춰서 출발할게,b
이 게임 컨트롤러로 하다 되다 ?,이 게임 컨트롤러로 해야 돼?,b
토끼 빠르다 도망치다 .,토끼는 빠르게 도망쳐,b
밴드 활동 나 새로운 도전 있다 .,밴드 활동은 나의 새로운 도전이야.,b
너무 바쁘다 힘들다 .,너무 바빠서 힘들어,b
리팩토링 필요하다 .,리팩토링 필요해.,b
행운 문 열다 .,행운의 문을 열어,b
마술 배우다 재미 있다 .,마술 배우는 건 재미있어.,b
월간 구독료 외 추가 비용 있다 ?,월간 구독료 외에 추가 비용 있어?,b
거북이 오래 살다 .,거북이는 오래 살아,b
나 좀 쉬다 싶다 .,나 좀 쉬고 싶어,b
기회 행운 잡다 .,우리는 이번 기회에 행운을 잡아야 해,b
IDE 설정 변경 하다 .,IDE 설정 변경했어.,b
눈썹문신 하다 고민 중이다 .,눈썹문신 할까 고민 중이야.,b
스트레칭 후 운동 시작하다 .,스트레칭 후에 운동을 시작해,b
넷플릭스 오프라인 모드 지원 ?,넷플릭스 오프라인 모드 지원해?,b
오늘 기분 정말 안 좋다 .,오늘 기분이 너무 안 좋아.,b
스크럼 미팅 참석 하다 ?,스크럼 미팅 참석했어?,b
나 매일 점심 샐러드 먹다 .,난 매일 점심에 샐러드를 먹어.,b
가족 구성원 계정 공유 가능 ?,가족 구성원끼리 계정 공유할 수 있어?,b
게임 이벤트 중이다 .,게임에서 이벤트 중이야.,b
거북이 움직임 느리다 .,거북이는 움직임이 느려,b
그 기억 나 크다 힘 되다 .,그 기억은 나에게 큰 힘이 돼.,b
그 그 주제 깊다 생각하다 있다 .,그는 그 주제에 대해 깊게 생각하고 있어.,b
나 그 음악 감동 받다 .,나는 그 음악에 대해 감동을 받았어.,b
나 행운 주사위 굴리다 .,나는 행운의 주사위를 굴렸어,b
강아지 밖 놀다 싶다 .,강아지는 밖에서 놀고 싶어해,b
많다 사람 그 호불호 갈리다 .,많은 사람들이 그에 대한 호불호가 갈렸어.,b
취침 전 물 1잔 마시다 .,취침 전에는 물 한 잔 마셔,b
인플레이션률 안정적 .,인플레이션률이 안정적이야.,b
유튜브 알고리즘 이상하다 같다 .,유튜브 알고리즘이 이상해진 것 같아.,b
약속 장소 주차장 있다 ?,약속 장소에는 주차장이 있어요?,b
최근 다이빙 시작하다 .,최근에는 다이빙을 시작했어.,b
그녀 학생 새로운 실험 가르치다 .,그녀는 학생들에게 새로운 실험을 가르쳤어.,b
그것 왜 모르다 ?,그걸 왜 몰랐을까?,b
착륙 때 귀 막히다 .,착륙할 때 귀가 막혔어.,b
믿다 수 없다 !,믿을 수 없어!,b
조금 기다리다 보다 .,조금만 기다려봐,b
사랑 인생 기적 .,사랑은 인생의 기적이야,b
도서관 조용하다 공부하다 .,도서관에서 조용히 공부하려고 해.,b
그거 듣다 ? 진짜 놀라다 !,그거 들어봤어? 진짜 놀라워.,b
꿈 현실 시작이다 .,꿈은 현실의 시작이야,b
너 잘 지내다 ?,너 잘 지냈어?,b
과일 먹다 전 씻다 .,과일을 먹기 전에는 항상 씻어,b
나 행운 색 파랑이다 .,나의 행운의 색깔은 파란색이야,b
다이어리 쓰다 걸 잊다 안하다 노력 중이다 .,다이어리 쓰는 걸 잊지 않으려고 노력중이야.,b
물건 세관 신고 하다 ?,물건 세관 신고해야 해?,b
나 우체국 서비스 좋다 .,나는 우체국의 서비스가 좋아.,b
라운지 이용 가능 ?,라운지 이용 가능해?,b
넷플릭스 파티 어떻게 하다 ?,넷플릭스 파티 어떻게 하는 거야?,b
코믹스 웹툰 차이 무엇 ?,코믹스와 웹툰의 차이는 뭐야?,b
가족 같이 식사하다 오다 .,가족들과 함께 식사하러 왔어.,b
약속 장소 모르다 .,약속 장소를 모르겠어,b
사람 꿈 향하다 나아가다 되다 .,사람은 꿈을 향해 나아가야 해,b
수업 준비물 가져오다 하다 .,수업 준비물을 가져와야 해.,b
동생 학교 수상 하다 !,동생 학교에서 수상을 했다며!,b
수학 시험 어렵다 !,수학 시험은 어려웠어!,b
요즘 어떻다 지내다 ?,요즘 어떻게 지냈어?,b
나 세상 불평등 바꾸다 싶다 .,나는 세상의 불평등을 바꾸고 싶어,b
나 오늘 행운 있다 .,나는 오늘 행운의 편이었어,b
그 추억 시간 흐르다 변하다 않다 .,그 추억은 시간이 흘러도 변하지 않아.,b
주말 만나다 .,주말에 만나자,b
우리 환경 보호 노력하다 되다 .,우리는 환경 보호를 위해 노력해야 해,b
PvP 모드 좋다 ?,PvP 모드 좋아?,b
약속 시간 3시 하다 .,약속 시간은 3시로 하자,b
아이 책 읽다 시간 중요하다 .,아이에게 책 읽어주는 시간이 중요해.,b
디버깅 툴 사용법 알다 ?,디버깅 툴 사용법 알아?,b
우주 끝없다 미지 세계이다 .,우주는 끝없는 미지의 세계야,b
나 매운 음식 먹다 못하다 .,나는 매운 음식을 잘 못 먹어.,b
월요일 금요일 까지 바쁘다 .,월요일부터 금요일까지는 바빠,b
시험 기간 밤 늦다 공부하다 .,시험 기간에는 밤 늦게까지 공부했어.,b
아기 기저귀 발진 걱정 하다 .,아기 기저귀 발진 걱정돼.,b
이 프로그램 매주 보다 .,이 프로그램 매주 봐야해.,b
나 책 좋아하다 .,나 책 좋아해,b
클랜 초대 하다 .,클랜에 초대해줘.,b
오늘 할머니 생신 알다 있다 ?,오늘 할머니 생신이야. 기억하고 있었지?,b
카라오케 최애곡 부르다 습관 있다 .,카라오케에서 최애곡을 부르곤 해.,b
게임 환불 가능 ?,게임 환불 가능해?,b
오늘 아침 눈 오다 .,오늘 아침에 눈이 왔어.,b
애완동물 키우다 싶다 .,애완동물 키우고 싶어져.,b
가족 모두 크리스마스 선물 고르다 ?,가족들 모두 크리스마스 선물 골랐어?,b
선생님 의견 참고하다 .,선생님의 의견을 참고로 하겠어.,b
아이 학교 행사 참석 하다 .,아이들과 학교 행사 참석했어.,b
너에게 한 번 더 기회 주다 ?,너한테 한 번 더 기회를 줬어야 했나?,b
방송 시청률 최근 높아지다 하다 .,방송 시청률이 최근에 높아졌다고 해.,b
넷플릭스 계정 공유 가능 ?,넷플릭스 계정 공유 가능해?,b
엄마 만들다 김밥 최고 !,엄마가 만든 김밥 최고야!,b
클라우드 서비스 이전 고려 중이다 .,클라우드 서비스로 이전 고려 중이야.,b
나 오늘 기분 좋다 .,나 오늘 기분 좋다,b
카페 친구 수다 떨다 .,카페에서 친구와 수다를 떨었어,b
부활절 4월 첫 일요일이다 .,부활절은 4월의 첫 번째 일요일이야,b
선생님 설명 도움 되다 .,선생님의 설명이 도움이 되었어.,b
우체국 택배 빠르다 안전하다 .,우체국 택배는 빠르고 안전해.,b
세상 우리 만들어가다 것이다 .,세상은 우리가 만들어가는 거야,b
도서관 책 빌리다 .,도서관에서 책을 빌렸어,b
정오 태양 가장 높다 .,정오에 태양이 가장 높아,b
과거 역사 미래 준비 도움 되다 .,과거의 역사는 미래를 준비하는 데 도움이 돼,b
요즘 어떻다 지내다 ?,요즘 어떻게 지내?,b
행운 토큰 얻다 .,행운의 토큰을 얻었어,b
행운 숫자 7이다 .,행운의 숫자는 7이야,b
전기 갑자기 꺼지다 .,전기가 갑자기 꺼졌어.,b
카나리아 제도 해변 평온하다 .,카나리아 제도의 해변은 평온했어.,b
토끼 당근 먹다 .,토끼는 당근을 먹어,b
나 생각 그 좋다 방법 있다 .,내 생각에는 그게 좋은 방법이야.,b
요리 시도 하다 실패 하다 .,요리를 시도해봤는데 실패했어.,b
최근 영화 보다 ?,최근에 본 영화 있어?,b
공원 개 산책 시키다 .,공원에서 개를 산책시켜,b
이번 분기 매출 좋아지다 바라다 .,이번 분기 매출이 좋아지길 바래.,b
수학 숙제 해결 못하다 .,수학 숙제를 해결할 수 없어.,b
직장 힘들다 일 있다 .,직장에서 힘든 일이 있었어.,b
보딩 시간 다가오다 .,보딩 시간이 다가와.,b
집 가다 길이다 .,집에 가는 길이야,b
공원 피크닉 하다 .,공원에서 피크닉을 했어,b
고양이 털 많이 빠지다 .,고양이는 털이 많이 빠져,b
동생 내 핸드폰 게임 하다 보다 .,동생이 내 핸드폰으로 게임을 했나 봐.,b
아이 게임 하다 시간 좋다 .,아이들과 게임하는 시간이 좋아.,b
회사 점심 산책하다 .,회사에서 점심시간에 산책을 해,b
나중 보다 .,나중에 보자,b
수업 내용 이해 안되다 부분 있다 .,수업 내용 중에 이해 안 되는 부분이 있어.,b
그녀 행운 여신 같다 .,그녀는 행운의 여신 같아,b
방과 후 학원 어디로 가다 ?,방과 후 학원 어디 가?,b
아이 함께 퍼즐 맞추다 .,아이와 함께 퍼즐 맞추었어.,b
우리 집 고양이 노란색이다 .,우리 집 고양이는 노란색이야,b
시련 성장 기회이다 .,시련은 성장의 기회야,b
사무실 춥다 않다 ?,사무실이 좀 춥지 않아?,b
세계 어린이 희망 미래이다 .,세계의 어린이들은 희망의 미래야,b
약속 시간 무슨 옷 입다 ?,약속 시간에는 무슨 옷을 입을까?,b
우산 챙기다 비 오다 같다 .,"우산 챙겨가, 비 올 것 같아.",b
아빠 낚시 가다 어때 ?,아빠와 함께 낚시 가려고 했는데 어때?,b
아기 기저귀 갈다 ?,아기 기저귀를 갈아줬어?,b
시장 신선하다 과일 사다 .,시장에서 신선한 과일을 샀어,b
너 매일 운동 ?,너 매일 운동해?,b
팀 프로젝트 언제 시작 ?,팀 프로젝트 언제 시작해?,b
요리 배우다 싶다 .,요리를 배우고 싶어,b
퇴근 후 회식 어디서 하다 ?,퇴근 후 회식 어디서 할 거야?,b
페럿 민첩하다 움직이다 .,페럿은 민첩하게 움직여,b
고양이 어깨 위 앉다 .,고양이는 어깨 위에 앉아,b
저기 무엇 곳 ?,저기 뭐하는 곳이야?,b
이 노래 좋다 ?,이 노래 좋지 않아?,b
터키 카파도키아 열기구 타다 .,터키의 카파도키아에서는 열기구를 탔어.,b
내일 무엇 ?,내일 뭐해?,b
체육 시간 축구 하다 .,체육 시간에 축구를 했어.,b
물 필요하다 .,물이 필요해,b
내일 트레이닝 주제 무엇 ?,내일의 트레이닝 주제는 뭐야?,b
그 무엇 문제 ?,그게 뭐가 문제야?,b
복지팀 이벤트 준비 중 .,복지팀에서 이벤트를 준비 중이야.,b
이 시리즈 언제 까지 스트리밍 되다 ?,이 시리즈 언제까지 스트리밍 돼?,b
나 학교 축제 기다리다 .,나는 학교 축제를 기다려.,b
아이 특기 발표회 1등 하다 .,아이가 특기 발표회에서 1등 했어.,b
주말 빨래 돌리다 .,주말마다 빨래를 돌려,b
세상 창의적 사람 많다 .,세상에는 창의적인 사람들이 많아,b
나 우체국 예금 이용하다 있다 .,나는 우체국 예금을 이용하고 있어.,b
청소기 켜다 집 청소하다 .,청소기를 켜서 집을 청소했어,b
조깅하다 마을 돌다 .,조깅하면서 마을을 돌았어,b
아기 첫 생일 준비 중 .,아기 첫 생일 준비 중이야.,b
인생 목표 향하다 달리다 가다 .,인생의 목표를 향해 달려가,b
어리다 때 기억 아직도 마음속 살다 있다 .,어릴 적의 기억은 아직도 마음속에 살아있어.,b
인생 배움 연속이다 .,인생은 배움의 연속이야,b
도착 게이트 어디 있다 ?,도착 게이트 어디야?,b
이번 주말 무엇 하다 ?,이번 주말에 뭐할까?,b
약속 취소하다 .,약속 취소해야해,b
선생님 앞 수업 때 집중 하다 .,선생님이 앞에서 수업할 때 집중하라고 했어.,b
방 추워 히터 켜다 .,방이 너무 추워서 히터를 켰어,b
인간 지식 통하다 성장하다 .,인간은 지식을 통해 성장해,b
내일부터 학교 급식 바꾸다 .,내일부터 학교가 급식을 바꿔.,b
수업 끝나다 선생님 질문 하다 .,수업 끝나고 선생님께 질문 좀 할 거야.,b
엄마 나 축구 연습 가다 .,"엄마, 나 축구 연습 갈 거야.",b
모바일 게임 하다 ?,모바일 게임도 하니?,b
세상 인간 좋다 행동 따르다 밝아지다 .,세상은 인간의 좋은 행동에 따라 밝아져,b
배틀로얄 장르 좋아하다 ?,배틀로얄 장르 좋아해?,b
동생 과자 다 먹다 .,동생이 과자 다 먹었어!,b
