GKSL,WKL,GKSL_encoded,WKL_encoded
샛길 곳,골목으로 들어가주세요.,"[2, 517, 0, 5585, 1021, 3]","[2, 1016, 6217, 7078, 1805, 7282, 54, 3]"
샛길 도착,골목으로 들어가주세요.,"[2, 517, 0, 5585, 1723, 3]","[2, 1016, 6217, 7078, 1805, 7282, 54, 3]"
저기 샛길 가다,골목으로 들어가주세요.,"[2, 3990, 5561, 517, 0, 5585, 517, 5330, 5782, 3]","[2, 1016, 6217, 7078, 1805, 7282, 54, 3]"
샛길 문 가다,골목으로 들어가주세요.,"[2, 517, 0, 5585, 2120, 517, 5330, 5782, 3]","[2, 1016, 6217, 7078, 1805, 7282, 54, 3]"
아파트 가다,아파트 단지 안으로 가주세요.,"[2, 3131, 517, 5330, 5782, 3]","[2, 3131, 1593, 3135, 7078, 517, 5330, 7282, 54, 3]"
아파트 저기,아파트 단지 안으로 가주세요.,"[2, 3131, 3990, 5561, 3]","[2, 3131, 1593, 3135, 7078, 517, 5330, 7282, 54, 3]"
아파트 저기 가다,아파트 단지 안으로 가주세요.,"[2, 3131, 3990, 5561, 517, 5330, 5782, 3]","[2, 3131, 1593, 3135, 7078, 517, 5330, 7282, 54, 3]"
아파트 저기 곳,아파트 단지 안으로 가주세요.,"[2, 3131, 3990, 5561, 1021, 3]","[2, 3131, 1593, 3135, 7078, 517, 5330, 7282, 54, 3]"
아파트 안 곳,아파트 단지 안으로 가주세요.,"[2, 3131, 3135, 1021, 3]","[2, 3131, 1593, 3135, 7078, 517, 5330, 7282, 54, 3]"
아파트 안 도착,아파트 단지 안으로 가주세요.,"[2, 3131, 3135, 1723, 3]","[2, 3131, 1593, 3135, 7078, 517, 5330, 7282, 54, 3]"
아파트 안 가다,아파트 단지 안으로 가주세요.,"[2, 3131, 3135, 517, 5330, 5782, 3]","[2, 3131, 1593, 3135, 7078, 517, 5330, 7282, 54, 3]"
저기 아파트 가다,아파트 단지 안으로 가주세요.,"[2, 3990, 5561, 3131, 517, 5330, 5782, 3]","[2, 3131, 1593, 3135, 7078, 517, 5330, 7282, 54, 3]"
아파트 문 가다,아파트 단지 안으로 가주세요.,"[2, 3131, 2120, 517, 5330, 5782, 3]","[2, 3131, 1593, 3135, 7078, 517, 5330, 7282, 54, 3]"
학교 저기 ?,학교 안으로 들어갈까요?,"[2, 4949, 3990, 5561, 633, 3]","[2, 4949, 3135, 7078, 1807, 5591, 6999, 258, 3]"
학교 저기 가다 ?,학교 안으로 들어갈까요?,"[2, 4949, 3990, 5561, 517, 5330, 5782, 633, 3]","[2, 4949, 3135, 7078, 1807, 5591, 6999, 258, 3]"
학교 저기 곳 ?,학교 안으로 들어갈까요?,"[2, 4949, 3990, 5561, 1021, 633, 3]","[2, 4949, 3135, 7078, 1807, 5591, 6999, 258, 3]"
학교 안 곳 ?,학교 안으로 들어갈까요?,"[2, 4949, 3135, 1021, 633, 3]","[2, 4949, 3135, 7078, 1807, 5591, 6999, 258, 3]"
학교 안 도착 ?,학교 안으로 들어갈까요?,"[2, 4949, 3135, 1723, 633, 3]","[2, 4949, 3135, 7078, 1807, 5591, 6999, 258, 3]"
학교 안 가다 ?,학교 안으로 들어갈까요?,"[2, 4949, 3135, 517, 5330, 5782, 633, 3]","[2, 4949, 3135, 7078, 1807, 5591, 6999, 258, 3]"
샛길 저기 ?,골목으로 들어갈까요?,"[2, 517, 0, 5585, 3990, 5561, 633, 3]","[2, 1016, 6217, 7078, 1807, 5591, 6999, 258, 3]"
샛길 저기 가다 ?,골목으로 들어갈까요?,"[2, 517, 0, 5585, 3990, 5561, 517, 5330, 5782, 633, 3]","[2, 1016, 6217, 7078, 1807, 5591, 6999, 258, 3]"
샛길 저기 곳 ?,골목으로 들어갈까요?,"[2, 517, 0, 5585, 3990, 5561, 1021, 633, 3]","[2, 1016, 6217, 7078, 1807, 5591, 6999, 258, 3]"
샛길 곳 ?,골목으로 들어갈까요?,"[2, 517, 0, 5585, 1021, 633, 3]","[2, 1016, 6217, 7078, 1807, 5591, 6999, 258, 3]"
샛길 도착 ?,골목으로 들어갈까요?,"[2, 517, 0, 5585, 1723, 633, 3]","[2, 1016, 6217, 7078, 1807, 5591, 6999, 258, 3]"
샛길 여기 가다 ?,골목으로 들어갈까요?,"[2, 517, 0, 5585, 3301, 517, 5330, 5782, 633, 3]","[2, 1016, 6217, 7078, 1807, 5591, 6999, 258, 3]"
아파트 저기 ?,아파트 단지 안으로 들어갈까요?,"[2, 3131, 3990, 5561, 633, 3]","[2, 3131, 1593, 3135, 7078, 1807, 5591, 6999, 258, 3]"
아파트 저기 가다 ?,아파트 단지 안으로 들어갈까요?,"[2, 3131, 3990, 5561, 517, 5330, 5782, 633, 3]","[2, 3131, 1593, 3135, 7078, 1807, 5591, 6999, 258, 3]"
아파트 저기 곳 ?,아파트 단지 안으로 들어갈까요?,"[2, 3131, 3990, 5561, 1021, 633, 3]","[2, 3131, 1593, 3135, 7078, 1807, 5591, 6999, 258, 3]"
아파트 안 곳 ?,아파트 단지 안으로 들어갈까요?,"[2, 3131, 3135, 1021, 633, 3]","[2, 3131, 1593, 3135, 7078, 1807, 5591, 6999, 258, 3]"
아파트 안 도착 ?,아파트 단지 안으로 들어갈까요?,"[2, 3131, 3135, 1723, 633, 3]","[2, 3131, 1593, 3135, 7078, 1807, 5591, 6999, 258, 3]"
아파트 안 가다 ?,아파트 단지 안으로 들어갈까요?,"[2, 3131, 3135, 517, 5330, 5782, 633, 3]","[2, 3131, 1593, 3135, 7078, 1807, 5591, 6999, 258, 3]"
나사렛 전 내리다,나사렛대학교 못가서 내려주세요.,"[2, 1370, 6493, 6059, 4012, 1444, 5782, 3]","[2, 1370, 6493, 6059, 5825, 2086, 5330, 6553, 1442, 7282, 54, 3]"
나사렛 전 차내리다,나사렛대학교 못가서 내려주세요.,"[2, 1370, 6493, 6059, 4012, 4402, 5678, 6122, 5782, 3]","[2, 1370, 6493, 6059, 5825, 2086, 5330, 6553, 1442, 7282, 54, 3]"
나사렛 전 곳,나사렛대학교 못가서 내려주세요.,"[2, 1370, 6493, 6059, 4012, 1021, 3]","[2, 1370, 6493, 6059, 5825, 2086, 5330, 6553, 1442, 7282, 54, 3]"
나사렛 전 도착 내리다,나사렛대학교 못가서 내려주세요.,"[2, 1370, 6493, 6059, 4012, 1723, 1444, 5782, 3]","[2, 1370, 6493, 6059, 5825, 2086, 5330, 6553, 1442, 7282, 54, 3]"
나사렛 전 도착 차내리다,나사렛대학교 못가서 내려주세요.,"[2, 1370, 6493, 6059, 4012, 1723, 4402, 5678, 6122, 5782, 3]","[2, 1370, 6493, 6059, 5825, 2086, 5330, 6553, 1442, 7282, 54, 3]"
나사렛 전 저기,나사렛대학교 못가서 내려주세요.,"[2, 1370, 6493, 6059, 4012, 3990, 5561, 3]","[2, 1370, 6493, 6059, 5825, 2086, 5330, 6553, 1442, 7282, 54, 3]"
저기 맞다,저기서 내려주세요.,"[2, 3990, 5561, 1970, 5782, 3]","[2, 3990, 5561, 6553, 1442, 7282, 54, 3]"
저기 내리다 맞다,저기서 내려주세요.,"[2, 3990, 5561, 1444, 5782, 1970, 5782, 3]","[2, 3990, 5561, 6553, 1442, 7282, 54, 3]"
저기 차내리다 맞다,저기서 내려주세요.,"[2, 3990, 5561, 4402, 5678, 6122, 5782, 1970, 5782, 3]","[2, 3990, 5561, 6553, 1442, 7282, 54, 3]"
기차 곳 맞다,기차역에서 내려주세요.,"[2, 1258, 7389, 1021, 1970, 5782, 3]","[2, 1258, 7389, 6926, 6903, 1442, 7282, 54, 3]"
기차 곳 내리다 맞다,기차역에서 내려주세요.,"[2, 1258, 7389, 1021, 1444, 5782, 1970, 5782, 3]","[2, 1258, 7389, 6926, 6903, 1442, 7282, 54, 3]"
기차 곳 차내리다 맞다,기차역에서 내려주세요.,"[2, 1258, 7389, 1021, 4402, 5678, 6122, 5782, 1970, 5782, 3]","[2, 1258, 7389, 6926, 6903, 1442, 7282, 54, 3]"
버스 곳 맞다,버스정류장에서 내려주세요.,"[2, 2305, 1021, 1970, 5782, 3]","[2, 2305, 7227, 6107, 7184, 1442, 7282, 54, 3]"
버스 곳 내리다 맞다,버스정류장에서 내려주세요.,"[2, 2305, 1021, 1444, 5782, 1970, 5782, 3]","[2, 2305, 7227, 6107, 7184, 1442, 7282, 54, 3]"
버스 곳 차내리다 맞다,버스정류장에서 내려주세요.,"[2, 2305, 1021, 4402, 5678, 6122, 5782, 1970, 5782, 3]","[2, 2305, 7227, 6107, 7184, 1442, 7282, 54, 3]"
건너다,건너편에서 내려주세요.,"[2, 881, 5691, 5782, 3]","[2, 881, 5691, 7720, 6903, 1442, 7282, 54, 3]"
건너다 내리다,건너편에서 내려주세요.,"[2, 881, 5691, 5782, 1444, 5782, 3]","[2, 881, 5691, 7720, 6903, 1442, 7282, 54, 3]"
건너다 차내리다,건너편에서 내려주세요.,"[2, 881, 5691, 5782, 4402, 5678, 6122, 5782, 3]","[2, 881, 5691, 7720, 6903, 1442, 7282, 54, 3]"
건너다 오케이,건너편에서 내려주세요.,"[2, 881, 5691, 5782, 3417, 7525, 3]","[2, 881, 5691, 7720, 6903, 1442, 7282, 54, 3]"
건너다 차두다,건너편에서 내려주세요.,"[2, 881, 5691, 5782, 4402, 5907, 5782, 3]","[2, 881, 5691, 7720, 6903, 1442, 7282, 54, 3]"
건너다 내리다 오케이,건너편에서 내려주세요.,"[2, 881, 5691, 5782, 1444, 5782, 3417, 7525, 3]","[2, 881, 5691, 7720, 6903, 1442, 7282, 54, 3]"
건너다 차내리다 오케이,건너편에서 내려주세요.,"[2, 881, 5691, 5782, 4402, 5678, 6122, 5782, 3417, 7525, 3]","[2, 881, 5691, 7720, 6903, 1442, 7282, 54, 3]"
시청,시청으로 가주세요.,"[2, 517, 6719, 3]","[2, 517, 6719, 7078, 517, 5330, 7282, 54, 3]"
시청 내리다,시청으로 가주세요.,"[2, 517, 6719, 1444, 5782, 3]","[2, 517, 6719, 7078, 517, 5330, 7282, 54, 3]"
시청 차내리다,시청으로 가주세요.,"[2, 517, 6719, 4402, 5678, 6122, 5782, 3]","[2, 517, 6719, 7078, 517, 5330, 7282, 54, 3]"
시청 오케이,시청으로 가주세요.,"[2, 517, 6719, 3417, 7525, 3]","[2, 517, 6719, 7078, 517, 5330, 7282, 54, 3]"
시청 차두다,시청으로 가주세요.,"[2, 517, 6719, 4402, 5907, 5782, 3]","[2, 517, 6719, 7078, 517, 5330, 7282, 54, 3]"
시청 내리다 오케이,시청으로 가주세요.,"[2, 517, 6719, 1444, 5782, 3417, 7525, 3]","[2, 517, 6719, 7078, 517, 5330, 7282, 54, 3]"
시청 차내리다 오케이,시청으로 가주세요.,"[2, 517, 6719, 4402, 5678, 6122, 5782, 3417, 7525, 3]","[2, 517, 6719, 7078, 517, 5330, 7282, 54, 3]"
여기 맞다 ?,여기서 내려드릴까요?,"[2, 3301, 1970, 5782, 633, 3]","[2, 3301, 6553, 1442, 5920, 6135, 5591, 6999, 258, 3]"
여기 내리다 맞다 ?,여기서 내려드릴까요?,"[2, 3301, 1444, 5782, 1970, 5782, 633, 3]","[2, 3301, 6553, 1442, 5920, 6135, 5591, 6999, 258, 3]"
여기 차내리다 맞다 ?,여기서 내려드릴까요?,"[2, 3301, 4402, 5678, 6122, 5782, 1970, 5782, 633, 3]","[2, 3301, 6553, 1442, 5920, 6135, 5591, 6999, 258, 3]"
지금 맞다 ?,지금 내려드릴까요?,"[2, 4299, 1970, 5782, 633, 3]","[2, 4299, 1442, 5920, 6135, 5591, 6999, 258, 3]"
지금 내리다 맞다 ?,지금 내려드릴까요?,"[2, 4299, 1444, 5782, 1970, 5782, 633, 3]","[2, 4299, 1442, 5920, 6135, 5591, 6999, 258, 3]"
지금 차내리다 맞다 ?,지금 내려드릴까요?,"[2, 4299, 4402, 5678, 6122, 5782, 1970, 5782, 633, 3]","[2, 4299, 1442, 5920, 6135, 5591, 6999, 258, 3]"
기차 곳 맞다 ?,기차역에서 내려드릴까요?,"[2, 1258, 7389, 1021, 1970, 5782, 633, 3]","[2, 1258, 7389, 6926, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
기차 곳 내리다 맞다 ?,기차역에서 내려드릴까요?,"[2, 1258, 7389, 1021, 1444, 5782, 1970, 5782, 633, 3]","[2, 1258, 7389, 6926, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
기차 곳 차내리다 맞다 ?,기차역에서 내려드릴까요?,"[2, 1258, 7389, 1021, 4402, 5678, 6122, 5782, 1970, 5782, 633, 3]","[2, 1258, 7389, 6926, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
버스 곳 맞다 ?,버스정류장에서 내려드릴까요?,"[2, 2305, 1021, 1970, 5782, 633, 3]","[2, 2305, 7227, 6107, 7184, 1442, 5920, 6135, 5591, 6999, 258, 3]"
버스 곳 내리다 맞다 ?,버스정류장에서 내려드릴까요?,"[2, 2305, 1021, 1444, 5782, 1970, 5782, 633, 3]","[2, 2305, 7227, 6107, 7184, 1442, 5920, 6135, 5591, 6999, 258, 3]"
버스 곳 차내리다 맞다 ?,버스정류장에서 내려드릴까요?,"[2, 2305, 1021, 4402, 5678, 6122, 5782, 1970, 5782, 633, 3]","[2, 2305, 7227, 6107, 7184, 1442, 5920, 6135, 5591, 6999, 258, 3]"
건너다 ?,건너편에서 내려드릴까요?,"[2, 881, 5691, 5782, 633, 3]","[2, 881, 5691, 7720, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
건너다 내리다 ?,건너편에서 내려드릴까요?,"[2, 881, 5691, 5782, 1444, 5782, 633, 3]","[2, 881, 5691, 7720, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
건너다 차내리다 ?,건너편에서 내려드릴까요?,"[2, 881, 5691, 5782, 4402, 5678, 6122, 5782, 633, 3]","[2, 881, 5691, 7720, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
건너다 오케이 ?,건너편에서 내려드릴까요?,"[2, 881, 5691, 5782, 3417, 7525, 633, 3]","[2, 881, 5691, 7720, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
건너다 차두다 ?,건너편에서 내려드릴까요?,"[2, 881, 5691, 5782, 4402, 5907, 5782, 633, 3]","[2, 881, 5691, 7720, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
건너다 내리다 오케이 ?,건너편에서 내려드릴까요?,"[2, 881, 5691, 5782, 1444, 5782, 3417, 7525, 633, 3]","[2, 881, 5691, 7720, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
건너다 차내리다 오케이 ?,건너편에서 내려드릴까요?,"[2, 881, 5691, 5782, 4402, 5678, 6122, 5782, 3417, 7525, 633, 3]","[2, 881, 5691, 7720, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
시청 ?,시청에서 내려드릴까요?,"[2, 517, 6719, 633, 3]","[2, 517, 6719, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
시청 내리다 ?,시청에서 내려드릴까요?,"[2, 517, 6719, 1444, 5782, 633, 3]","[2, 517, 6719, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
시청 차내리다 ?,시청에서 내려드릴까요?,"[2, 517, 6719, 4402, 5678, 6122, 5782, 633, 3]","[2, 517, 6719, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
시청 오케이 ?,시청에서 내려드릴까요?,"[2, 517, 6719, 3417, 7525, 633, 3]","[2, 517, 6719, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
시청 차두다 ?,시청에서 내려드릴까요?,"[2, 517, 6719, 4402, 5907, 5782, 633, 3]","[2, 517, 6719, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
시청 내리다 오케이 ?,시청에서 내려드릴까요?,"[2, 517, 6719, 1444, 5782, 3417, 7525, 633, 3]","[2, 517, 6719, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
시청 차내리다 오케이 ?,시청에서 내려드릴까요?,"[2, 517, 6719, 4402, 5678, 6122, 5782, 3417, 7525, 633, 3]","[2, 517, 6719, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
나사렛 ?,나사렛대학교에서 내려드릴까요?,"[2, 1370, 6493, 6059, 633, 3]","[2, 1370, 6493, 6059, 5825, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
나사렛 내리다 ?,나사렛대학교에서 내려드릴까요?,"[2, 1370, 6493, 6059, 1444, 5782, 633, 3]","[2, 1370, 6493, 6059, 5825, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
나사렛 차내리다 ?,나사렛대학교에서 내려드릴까요?,"[2, 1370, 6493, 6059, 4402, 5678, 6122, 5782, 633, 3]","[2, 1370, 6493, 6059, 5825, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
나사렛 오케이 ?,나사렛대학교에서 내려드릴까요?,"[2, 1370, 6493, 6059, 3417, 7525, 633, 3]","[2, 1370, 6493, 6059, 5825, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
나사렛 가다 ?,나사렛대학교에서 내려드릴까요?,"[2, 1370, 6493, 6059, 517, 5330, 5782, 633, 3]","[2, 1370, 6493, 6059, 5825, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
나사렛 내리다 오케이 ?,나사렛대학교에서 내려드릴까요?,"[2, 1370, 6493, 6059, 1444, 5782, 3417, 7525, 633, 3]","[2, 1370, 6493, 6059, 5825, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
나사렛 차내리다 오케이 ?,나사렛대학교에서 내려드릴까요?,"[2, 1370, 6493, 6059, 4402, 5678, 6122, 5782, 3417, 7525, 633, 3]","[2, 1370, 6493, 6059, 5825, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
차 뒤 트렁크열다,트렁크 좀 열어주세요.,"[2, 4402, 1783, 4773, 6048, 7565, 6940, 5782, 3]","[2, 4773, 6048, 7565, 4196, 3370, 7282, 54, 3]"
차 엉덩이 트렁크열다,트렁크 좀 열어주세요.,"[2, 4402, 517, 6894, 5848, 7096, 4773, 6048, 7565, 6940, 5782, 3]","[2, 4773, 6048, 7565, 4196, 3370, 7282, 54, 3]"
차 뒤 들어올리다,트렁크 좀 열어주세요.,"[2, 4402, 1783, 1804, 6973, 6122, 5782, 3]","[2, 4773, 6048, 7565, 4196, 3370, 7282, 54, 3]"
차 뒤 엉덩이 들어올리다,트렁크 좀 열어주세요.,"[2, 4402, 1783, 517, 6894, 5848, 7096, 1804, 6973, 6122, 5782, 3]","[2, 4773, 6048, 7565, 4196, 3370, 7282, 54, 3]"
차 트렁크열다 ?,트렁크 좀 열어드릴까요?,"[2, 4402, 4773, 6048, 7565, 6940, 5782, 633, 3]","[2, 4773, 6048, 7565, 4196, 3370, 5920, 6135, 5591, 6999, 258, 3]"
차 뒤 트렁크열다 ?,트렁크 좀 열어드릴까요?,"[2, 4402, 1783, 4773, 6048, 7565, 6940, 5782, 633, 3]","[2, 4773, 6048, 7565, 4196, 3370, 5920, 6135, 5591, 6999, 258, 3]"
차 엉덩이 트렁크열다 ?,트렁크 좀 열어드릴까요?,"[2, 4402, 517, 6894, 5848, 7096, 4773, 6048, 7565, 6940, 5782, 633, 3]","[2, 4773, 6048, 7565, 4196, 3370, 5920, 6135, 5591, 6999, 258, 3]"
차 뒤 들어올리다 ?,트렁크 좀 열어드릴까요?,"[2, 4402, 1783, 1804, 6973, 6122, 5782, 633, 3]","[2, 4773, 6048, 7565, 4196, 3370, 5920, 6135, 5591, 6999, 258, 3]"
차 뒤 엉덩이 들어올리다 ?,트렁크 좀 열어드릴까요?,"[2, 4402, 1783, 517, 6894, 5848, 7096, 1804, 6973, 6122, 5782, 633, 3]","[2, 4773, 6048, 7565, 4196, 3370, 5920, 6135, 5591, 6999, 258, 3]"
한국농아인협회 ?,한국농아인협회에서 내려드릴까요?,"[2, 4958, 5734, 6797, 7119, 7918, 633, 3]","[2, 4958, 5734, 6797, 7119, 7918, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
한국농아인협회 내리다 ?,한국농아인협회에서 내려드릴까요?,"[2, 4958, 5734, 6797, 7119, 7918, 1444, 5782, 633, 3]","[2, 4958, 5734, 6797, 7119, 7918, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
한국농아인협회 차내리다 ?,한국농아인협회에서 내려드릴까요?,"[2, 4958, 5734, 6797, 7119, 7918, 4402, 5678, 6122, 5782, 633, 3]","[2, 4958, 5734, 6797, 7119, 7918, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
한국농아인협회 오케이 ?,한국농아인협회에서 내려드릴까요?,"[2, 4958, 5734, 6797, 7119, 7918, 3417, 7525, 633, 3]","[2, 4958, 5734, 6797, 7119, 7918, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
한국농아인협회 가다 ?,한국농아인협회에서 내려드릴까요?,"[2, 4958, 5734, 6797, 7119, 7918, 517, 5330, 5782, 633, 3]","[2, 4958, 5734, 6797, 7119, 7918, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
한국농아인협회 내리다 오케이 ?,한국농아인협회에서 내려드릴까요?,"[2, 4958, 5734, 6797, 7119, 7918, 1444, 5782, 3417, 7525, 633, 3]","[2, 4958, 5734, 6797, 7119, 7918, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
한국농아인협회 차내리다 오케이 ?,한국농아인협회에서 내려드릴까요?,"[2, 4958, 5734, 6797, 7119, 7918, 4402, 5678, 6122, 5782, 3417, 7525, 633, 3]","[2, 4958, 5734, 6797, 7119, 7918, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
서울농아인협회 ?,서울농아인협회에서 내려드릴까요?,"[2, 2726, 5734, 6797, 7119, 7918, 633, 3]","[2, 2726, 5734, 6797, 7119, 7918, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
서울농아인협회 내리다 ?,서울농아인협회에서 내려드릴까요?,"[2, 2726, 5734, 6797, 7119, 7918, 1444, 5782, 633, 3]","[2, 2726, 5734, 6797, 7119, 7918, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
서울농아인협회 차내리다 ?,서울농아인협회에서 내려드릴까요?,"[2, 2726, 5734, 6797, 7119, 7918, 4402, 5678, 6122, 5782, 633, 3]","[2, 2726, 5734, 6797, 7119, 7918, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
서울농아인협회 오케이 ?,서울농아인협회에서 내려드릴까요?,"[2, 2726, 5734, 6797, 7119, 7918, 3417, 7525, 633, 3]","[2, 2726, 5734, 6797, 7119, 7918, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
서울농아인협회 가다 ?,서울농아인협회에서 내려드릴까요?,"[2, 2726, 5734, 6797, 7119, 7918, 517, 5330, 5782, 633, 3]","[2, 2726, 5734, 6797, 7119, 7918, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
서울농아인협회 내리다 오케이 ?,서울농아인협회에서 내려드릴까요?,"[2, 2726, 5734, 6797, 7119, 7918, 1444, 5782, 3417, 7525, 633, 3]","[2, 2726, 5734, 6797, 7119, 7918, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
서울농아인협회 차내리다 오케이 ?,서울농아인협회에서 내려드릴까요?,"[2, 2726, 5734, 6797, 7119, 7918, 4402, 5678, 6122, 5782, 3417, 7525, 633, 3]","[2, 2726, 5734, 6797, 7119, 7918, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
서대문농아인복지관 ?,서대문농아인복지관에서 내려드릴까요?,"[2, 2718, 5808, 6234, 5734, 6797, 7119, 6380, 5474, 633, 3]","[2, 2718, 5808, 6234, 5734, 6797, 7119, 6380, 5474, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
서대문농아인복지관 내리다 ?,서대문농아인복지관에서 내려드릴까요?,"[2, 2718, 5808, 6234, 5734, 6797, 7119, 6380, 5474, 1444, 5782, 633, 3]","[2, 2718, 5808, 6234, 5734, 6797, 7119, 6380, 5474, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
서대문농아인복지관 차내리다 ?,서대문농아인복지관에서 내려드릴까요?,"[2, 2718, 5808, 6234, 5734, 6797, 7119, 6380, 5474, 4402, 5678, 6122, 5782, 633, 3]","[2, 2718, 5808, 6234, 5734, 6797, 7119, 6380, 5474, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
서대문농아인복지관 오케이 ?,서대문농아인복지관에서 내려드릴까요?,"[2, 2718, 5808, 6234, 5734, 6797, 7119, 6380, 5474, 3417, 7525, 633, 3]","[2, 2718, 5808, 6234, 5734, 6797, 7119, 6380, 5474, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
서대문농아인복지관 가다 ?,서대문농아인복지관에서 내려드릴까요?,"[2, 2718, 5808, 6234, 5734, 6797, 7119, 6380, 5474, 517, 5330, 5782, 633, 3]","[2, 2718, 5808, 6234, 5734, 6797, 7119, 6380, 5474, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
서대문농아인복지관 내리다 오케이 ?,서대문농아인복지관에서 내려드릴까요?,"[2, 2718, 5808, 6234, 5734, 6797, 7119, 6380, 5474, 1444, 5782, 3417, 7525, 633, 3]","[2, 2718, 5808, 6234, 5734, 6797, 7119, 6380, 5474, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
서대문농아인복지관 차내리다 오케이 ?,서대문농아인복지관에서 내려드릴까요?,"[2, 2718, 5808, 6234, 5734, 6797, 7119, 6380, 5474, 4402, 5678, 6122, 5782, 3417, 7525, 633, 3]","[2, 2718, 5808, 6234, 5734, 6797, 7119, 6380, 5474, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
에어컨 켜다,에어컨 좀 켜주세요.,"[2, 3288, 517, 7530, 5782, 3]","[2, 3288, 4196, 517, 7530, 7282, 54, 3]"
에어컨,에어컨 좀 켜주세요.,"[2, 3288, 3]","[2, 3288, 4196, 517, 7530, 7282, 54, 3]"
춥다 켜다,에어컨 좀 켜주세요.,"[2, 517, 7470, 5782, 517, 7530, 5782, 3]","[2, 3288, 4196, 517, 7530, 7282, 54, 3]"
에어컨 켜다 ?,에어컨 좀 켜드릴까요?,"[2, 3288, 517, 7530, 5782, 633, 3]","[2, 3288, 4196, 517, 7530, 5920, 6135, 5591, 6999, 258, 3]"
에어컨 ?,에어컨 좀 켜드릴까요?,"[2, 3288, 633, 3]","[2, 3288, 4196, 517, 7530, 5920, 6135, 5591, 6999, 258, 3]"
춥다 켜다 ?,에어컨 좀 켜드릴까요?,"[2, 517, 7470, 5782, 517, 7530, 5782, 633, 3]","[2, 3288, 4196, 517, 7530, 5920, 6135, 5591, 6999, 258, 3]"
난방 켜다,히터 좀 켜주세요.,"[2, 1406, 6305, 517, 7530, 5782, 3]","[2, 517, 7996, 7609, 4196, 517, 7530, 7282, 54, 3]"
난방,히터 좀 켜주세요.,"[2, 1406, 6305, 3]","[2, 517, 7996, 7609, 4196, 517, 7530, 7282, 54, 3]"
따뜻하다 켜다,히터 좀 켜주세요.,"[2, 1833, 5997, 7798, 517, 7530, 5782, 3]","[2, 517, 7996, 7609, 4196, 517, 7530, 7282, 54, 3]"
난방 켜다 ?,히터 좀 켜드릴까요?,"[2, 1406, 6305, 517, 7530, 5782, 633, 3]","[2, 517, 7996, 7609, 4196, 517, 7530, 5920, 6135, 5591, 6999, 258, 3]"
난방 ?,히터 좀 켜드릴까요?,"[2, 1406, 6305, 633, 3]","[2, 517, 7996, 7609, 4196, 517, 7530, 5920, 6135, 5591, 6999, 258, 3]"
