augmentation_method,idx,Gloss level Korean Sign Language (GKSL) sentence,Word level Korean Language (WKL) sentence
BR,78,??  ???  ?  ???  ??  ??  ?,?? ???? ?? ??? ? Kg????
BR,79,??  ??  ?,?? ??? ?? ?? ???? ??? ?????
BR,80,? ?? ?? ??? ??,? ?? ??? ???? ??? ?????
BR,81,?? ?? ??? ??? ??,???? ??? ??? ?? ??????
BR,82,??  ??  ???  ?,?? ???? ??? ?????
BR,83,?  ???  ? ?  ?,???? ??? ?? ??? ?????
BR,84,? ? ??  ??  ???  ??  ?,?? ??? ???? ??????
BR,85,?  ?  ??,??? ??? ?????
BR,86,?? ? ?? 9? ??,???? ?? 9?? ?????
BR,87,? ?? ?? ??,??? ?? ??????.
BR,88,??  ??,?? ???? ??? ?????
BR,89,??  ???  ??  ??  ??  ?,??????? ??? ??? ??? ????
BR,90,? ? ???? ??,???? ???????.
BR,91,??? ????,??? ???????
BR,92,? ??? ?? ??? ???,?? ???? ??? ??? ???
BR,93,?? ??,?? ? ? ?????
BR,94,???  ?  ??  ???  ??,??? ??? ??? ? ????
BR,95,?? ?? ????,?? ?? ? ?????.
BR,96,?? ? ?,???? ?? ???.
BR,97,? ? ? ?? ??,????? ??? ???????
BR,98,?  ??  ??  ??  ???  ??,??? ????? ??? ????
BR,99,??? ?? ???,??? ? ??? ???.
BR,100,?? ? ?? ?? ??,?? ?? ?? ??? ????
BR,101,?? ??? -?,??? ??? ??
BR,102,? ?? ??? -?,?? ??? ??? ??
BR,103,? ? ??? ? -?,? ??? ?? ??
BR,104,? ? ? ?? ?? ?? ???,????? ??? ???????
BR,105,?? ??? ???,??? ?? ? ?? ? ???.
BR,106,?? ????? ??,??? ???????.
BR,107,?? ?? ?? ? ?? ?? ?? ??,??? ?? ??? ??? ?? ??? ??? ???
BR,108,?? ???? ??,?? ??? ???? ?? ????.
BR,109,?? ?? ??,?? ???? ???
BR,110,?? ?? ??,??? ??? ??
BR,111,???  ?  ???  ??,???? ?? ???? ?? ? ????
BR,112,?? ?? ??,?? ???? ???
BR,113,??  ??  ??  ???  ????? ???? ?? ?? ??  ???,??? ????? ???? ?? ??? ???? ????.
BR,114,?? ? ?? ??? ??,?? ??? ?????
BR,115,?? ?? ? ???,??? ?? ???
BR,116,?? ? ???? ???? ??,? ?? ???? ??
BR,117,?? ? ???,??? ?? ? ???.
BR,118,??? ?? ??,??? ??? ???????
BR,119,? ??,?? ??
BR,120,? ?? ? ?? ? ??,????? ??? ?????.
BR,121,? ?? ???? ?? ?? ? 2?,?? ??? ??? ??? ????
BR,122,???? ?? ?? ???,???? ??? ???
BR,123,? ?? ??,?? ? ? ??
BR,124,? ?? ?? ?? ?? ?? ??? ??,? ?? ?? ???? ??? ????
BR,125,? ?? ? ?? ????,? ??? ???????
BR,126,??  ??  ??  ???  ? ???  ???,??? ????? ???? ?? ??? ???? ????.
BR,127,?? ?? ???,?? ?? ?? ?? ???
BR,128,?? ???? ??,??? ???????.
BR,129,?? ??? ?? ?? 9? ??,????? ?? 9?? ?????
BR,130,??? ?? ? ?? ??,???? ????? ?? ? ? ?????
BR,131,??? ?? 4 ?? ????,???? ?? ?? 4?? ?????
BR,132,?? ??? ????,???? ??? ????
BR,133,?? ??,??? ????.
BR,134,?? ?? ? ??? ??,?? ??? ?? ??? ???
BR,135,?? ? ? ???,??? ?? ?? ?? ??? ???.
BR,136,?? ? ??? ??,?????? ????
BR,137,? ?? ? ??? ??? ???,?? ??? ?? ? ???
BR,138,?? ?? ? ???,??? ?????
BR,139,?? ?? ?? ??,?? ?? ??? ?????
BR,140,?? ???,???? ???????
BR,141,? ? ? ?? ?? ?,????? ??? ???????
BR,142,??  ??  ??,????? ??? ?????
BR,143,?? ?? ??,?? ?? ????
BR,144,?? ?? ?? ??,??? ??? ??? ??
BR,145,?? ?? ??,?? ??? ?????
BR,146,?? ?? ???,??? ?????
BR,147,?? ???,??? ???????
BR,148,? ?? ????,??? ???????.
BR,149,? ?? ?? ?? ??? ?? ?? ???,?? ??? ???? ??? ??? ???
BR,150,?? ??? ??? ??? ???,?? ??? ??? ???
BR,151,?? ?? ???? ?? ??,??? ??? ??? ??? ??
BR,152,? ?? ???? ??? ? ???,?? ??? ???? ?? ?? ??
BR,153,?? ?? ????,??? ????? ????
BR,154,? ?? ???,?? ??? ???
BR,155,?? ?? ?? ??? ???,??? ?? ? ??? ???
BR,156,?? ?? ?,??? ??? ????
BR,157,?? ??? ???,??? ??? ??
BR,158,???,???? ????.
BR,159,?  ??  ??  ??  ???  ??  ?,??? ????? ??? ????
BR,160,? ?? ?? ???,?? ?? ?? ?? ? ??
BR,161,?? ?? ?? ????,?? ??? ??? ?????
BR,162,? ??? ?? ???,?? ???? ??? ???
BR,163,?? ?? ??,???? ????
BR,164,? ?? ???,???? ???
BR,165,??? ??,??? ?????
BR,166,?? ???? ???? ?,??? ????.
BR,167,? ?? ??,? ??? ????
BR,168,? ?? ??? ???,?? ?? ???? ??? ????
BR,169,?? ?? ?????,??? ????????
BR,170,??? ???? ?? ??? ? ?? ???,????? ??? ?????.
BR,171,??  ??  ?  ??,?? ??? ?? ?? ???? ??? ?????
BR,172,??  ??  ?? ??  ?,???? ???? ??? ?????
BR,173,?? ?? ?? ???,??? ?? ??? ???
BR,174,?? ??? ??? ?? ??,??? ????? ??? ???
BR,175,??? ????,??? ???????
BR,176,??? ???? ?? ??? ??,?? ??????
BR,177,??? ???,??? ??
BR,178,?? ?? ?? ? ???,??? ?????
BR,179,? ?? ?? ??,???? ??? ?? ??
BR,180,?? ????,??? ????.
BR,181,?? ?? ?? ??? ??,??? ??? ? ??? ??????
BR,182,????? ?? ??? ?? ??,?????? ?? ?? ??? ??
BR,183,?? -? ??? ? ?? ?,?? ??? ??? ???
BR,184,??? ?? ? ??,??? ?? ????
BR,185,?? ?? ???,??? ?? ?? ? ???.
BR,186,?? ??? ??,??? ??? ????
BR,187,??  ??  ???  ?  ?? ?,??? ???? ??? ?????
BR,188,? ??,?? ??? ????
BR,189,? ?? ?? ?? ??? ?? ???,? ?? ?? ???? ???? ????
BR,190,?? ??,?? ??? ??????
BR,191,?? ?? ? ?? ??,??? ??? ??? ??
BR,192,?? ? ??? ?? ? ?? ?? ?? ?? ???? ?? ??? ??,??? ? ??? ??? ?? ????
BR,193,??  ??  ???  ?,?? ???? ??? ?????
BR,194,?? ?? ??? ??,??? ??? ?? ?? ???
BR,195,?? ?? ??,??? ??? ???? ?? ????.
BR,196,??  ???  ?? ??  ??  ??  ?,??????? ??? ??? ??? ????
BR,197,??? ????,??? ???????
BR,198,?? ?? ?? ???,??? ????.
BR,199,?? ???? ??,??? ???????.
BR,200,??? ?? ?? ????,??? ??? ???????.
BR,201,?? ? ? ?? ????,??? ??? ?? ??
BR,202,? ? ?? 1??,??? ?? ?? 1????
BR,203,???? ? ? ???,????? ?? ?? ?? ??? ???.
BR,204,?? ????? ??,??? ???????.
BR,205,?? ??? ??,??? ?? ??
BR,206,?? ? ??,?? ?? ?? ? ???.
BR,207,?? ??,?? ??
BR,208,? ??,?? ? ? ????
BR,209,??? ????? ??,???? ?? ???.
BR,210,??? ?? ?????,???? ???????
BR,211,??? ?? ??,???? ????????
BR,212,?? ?? ?? ???,??? ????.
BR,213,?? ? ????,??? ???? ????
BR,214,? ???,?? ?????
BR,215,?? ??? ? ?? ????,????? ??? ?????.
BR,216,???  ?  ??  ?? ???? ???? ?? ?  ???  ??,??? ??? ??? ? ????
BR,217,?? ?? ?? ?? ?? ?? ???,??? ?? ??? ??? ?? ??? ???? ???
BR,218,?? ?? ???,??? ?? ???.
BR,219,? ??? ?? ???,?? ??? ???
BR,220,? ?? ?? ???,?? ????.
BR,221,? ?? ? ??? ?? ?,?? ?? ??? ???
BR,222,??? ??,????? ?? ??????
BR,223,?? ?? ????,? ??? ???? ????
BR,224,? ? ?? ???,? ?? ??? ? ??
BR,225,?? ???? ??,? ??? ?????.
BR,226,?? ? ?? ? ??,??? ??? ??? ????
BR,227,? ?? ?? ?? ?? ???,? ?? ?? ???? ??? ????
BR,228,?? ?? ?? ???,?? ??? ????.
BR,229,?? ?? ?? ???,?? ??? ?? ????? ???
BR,230,?  ??  ?,??? ??? ?????
BR,231,? ?? ??? ??,??? ????? ????. ?? ??? ? ???.
BR,232,?,?????.
BR,233,?? ?? ? ?,???? ?????.
BR,234,? ? ? ? ?? ????,????? ??? ?????.
BR,235,?? ????,??????
BR,236,???? ? ? ?? ? ??,???? ??? ??
BR,237,? ?? ? ?? ?,????? ??? ?????.
BR,238,?? ???,??? ???
BR,239,? ?? ??  ???  ?  ??,?? ???? ??? ?????
BR,240,?? ?? ??? ? ??,??? ?? ??? ??? ??? ???
BR,241,?? ??? ??,??? ????.
BR,242,?? ?? ?? ?? ???? ??,??? ???? ??? ????
BR,243,?? ??,??? ????????
BR,244,??? ????? ??,???? ???????
BR,245,?? ?? ??,??? ?? ??
BR,246,?? ???,???? ????.
BR,247,? ??? ??? ????,??? ???????.
BR,248,?? ? ???? ? ???,??? ?? ?? ?? ??? ???.
BR,249,??? ??? ? ????,???? ??? ?? ??? ? ??
BR,250,?? ???,??? ?????
BR,251,?? ??? ???,??? ?? ?????.
BR,252,??? ? ?? ? ??,?? ?? ??? ????
BR,253,??  ???  ??,?? ???? ??? ?????
BR,254,?? ?? ?? 9? ??,????? ?? 9?? ?????
BR,255,?? ?? ??,??? ???????.
BR,256,??  ??  ???  ? ?? ??? ?? ???? ??  ?,??? ???? ??? ?????
BR,257,? ???? ??,?? ????
BR,258,??  ? ?? ??  ???  ??,?? ???? ??? ?????
BR,259,???? ? ? ??? ??,??????? ?????.
BR,260,?? ? ??,??? ????.
BR,261,?? ???? ?? ????,??? ?? ??? ???????
BR,262,??  ??  ?  ? ?,??? ???? ??? ??? ??? ????
BR,263,??  ??  ??  ??,?????? ???? ??? ??? ?? ????
BR,264,? ? ???,?? ?? ????.
BR,265,??  ?? ????  ??  ??,??? ?? ? ????.
BR,266,?? ? ??,?????? ????.
BR,267,?? ? ??? ?? ? ?? ?? ??,??? ????? ??? ??? ??
BR,268,?? ??? ??,??? ??? ??
BR,269,? ?? ???,? ??? ???????
BR,270,?? ?? ?? ?? ?? ?? ?? ???,??? ?? ??? ??? ?? ??? ?? ???
BR,271,? ?? ??,?? ???????
BR,272,? ?? ????,?? ??? ??? ?????.
BR,273,?? ? ??,?? ??? ???????
BR,274,?? ???? ?? ??,??? ??? ??? ??
BR,275,? ?? ? ?? ? ??,?? ????? ??? ?? ?????.
BR,276,?? ??? ??? ???,??? ?? ???? ???
BR,277,?? ?? ??,?????? ????
BR,278,??? ?? ?? ???,??? ??? ???
BR,279,??  ? ?? ??  ??  ??,??? ?? ? ????.
BR,280,??  ??  ??  ?,??? ???? ??? ??? ??? ????
BR,281,? ? ?? ? ?? ?? ???,?? ?? ?? ??? ?? ??
BR,282,??? ??? ??? ? ?? ? ?? ???,???? ??? ?? ?? ??? ?? ???
BR,283,? ?? ??? -?,?? ??? ??? ??
BR,284,?? ?? ?? ???,? ??? ??? ?????
BR,285,?? ?? ? ???,?? ??? ????.
BR,286,?? ? ? ?,?? ?? ??? ????.
BR,287,??? ?? ? ?,?? ?? ??? ??????
BR,288,?? ?????? ???? ?? ????,??? ????.
BR,289,?? ?? ?? ??,?? ??? ??? ? ????
BR,291,? ??? ??? ???,?? ? ? ??? ??
BR,292,?,?? ???.
BR,293,? ??,?? ???? ???.
BR,294,??? -? ??? ???,???? ??? ??
BR,295,?? ???? ?? ???,??? ????
BR,296,??  ??  ??  ??  ??,????? ???? ????.
BR,297,?? ?? ?? ??,???? ??? ???? ???
BR,298,?? ? ?? ?? ?? ? ???,???? ?? ??? ?? ??? ??? ???
BR,299,?? ?? ?? ?? ???,???? ??? ??? ???
BR,300,?? ?? ?,??? ??? ????
BR,301,?? ?? ? ?? ??? ??,??? ??? ?? ????.
BR,302,?? ???,??? ??
BR,303,?  ???1  ? ?? ??? ?? ???? ??,??? ??? ????
BR,304,? ??? ?? ??,? ??? ? ???
BR,305,?? ????? ??,??? ????????
BR,306,?? ???? ?? ? ?? ?? ????,? ??? ?????.
BR,307,? ?? ?? ?? ??,??? ??? ??? ????
BR,308,?? ?? ????,?? ?? ? ?????.
BR,309,???  ??  ??,??? ??? ?? ?? ??????
BR,310,? ? ???? ???,???? ????.
BR,311,??  ??  ?  ? ?? ??? ?? ???? ??,???? ???? ??? ?????
BR,312,?? ??? ?? ??,??? ?? ???? ??
BR,313,?? ? ?? ?? ??,?? ??? ??? ???
BR,314,T ??? ? ?? ? ??,????? ??? ?????.
BR,315,?? ? ?? ??? ???,?? ??? ?????
BR,316,?? ???? ? ??,??? ????
BR,317,? ?? ?? 1??,??? ??? ?? 1????
BR,318,? ?? ?,?? ??? ????
BR,319,??  ?? ??  ??  ??,???? ?? ? ????.
BR,320,??  ?  ? ?,???? ??? ?????
BR,321,?? ?,??? ??? ????
BR,322,?? ?? ? ? ??,??????? ??? ?????.
BR,323,???? ?? ?? ?? ??? ???,??? ?? ? ??? ???
BR,324,? ???,??? ???????
BR,325,???  ??  ??,???? ?? ? ? ?????
BR,326,?? ?? ??,??? ???.
BR,327,??? ??,???? ??? ????
BR,328,?? ?? ??,??? ??? ??? ????
BR,329,?? ??,??? ??
BR,330,?? ?? ? ?? ?? ???,?? ??? ?????
BR,331,?? ? ?? ?,??? ??? ????
BR,332,? ?? ??? -?,?? ??? ??? ??
BR,333,???  ??  ??  ?? ???,???? ??? ? ?? ?? ??????
BR,334,?? ?? ?? ?? ?? ?? ??,??? ?? ??? ??? ?? ??? ??? ???
BR,335,?? ???? ??,??? ?????  ? ? ????
BR,336,?,?? ??? ?? ???
BR,337,?? ?? ??? ???,??? ??? ?? ??? ?? ?? ???
BR,338,?? ? ??,??? ??????.
BR,339,?? ?? ??,?? ???? ???
BR,340,?? ?? ?? ??? ??? ?? ???,???? ??? ?? ??? ???
BR,341,??  ??  ?  ? ?,?? ??? ?? ?? ???? ??? ?????
BR,342,? ?? ?? ??? ???,??? ??? ???
BR,343,?? ?? ?? ?? ????,??? ???? ???? ???? ???.
BR,344,?? ?????,??? ???????.
BR,345,??? ?? ?? ??,??? ???????
BR,346,??? ?,???? ??? ????
BR,347,?? ?? ?? ???,???? ??? ??. ??? ?? ?? ? ???.
BR,348,?? ?? ?? ?? ??,??? ?? ???? ????.
BR,349,?? ?? ?? ??,? ???? ??? ???
BR,350,??  ?  ? ?? ??? ?? ???? ??,??? ??? ?????
BR,351,???  ??  ?,???? ??? ?????
BR,352,??  ???  ??  ??  ??  ?,??????? ??? ??? ??? ????
BR,353,?? ?? ?,???? ???
BR,354,?? ?? ? ??,?? ??? ??????
BR,355,??  ?  ??  ??,????? ???? ??? ??? ?? ????
BR,356,?  ??  ???  ??  ??  ?  ??,????? ??? ??? ????
BR,357,?? ?? ?? ?? ? ??,? ?? ???? ?? ?? ??????
BR,358,??  ?  ??  ?,?? ??? ?? ? ???? ??? ?????
BR,359,?? ??,??? ??
BR,360,?? ??,??? ?????.
BR,361,??  ???  ??  ??  ??  ??  ?,??????? ??? ??? ??? ????
BR,362,?? ??? ??? ?? ??,??? ??? ??? ??
BR,363,?? ?? ?? ?? ??,??? ??? ????
BR,364,?? -?? ? ?? ???,???? ?? ?? ??
BR,365,?? ?? ??? ?? ???,??? ???? ??? ???
BR,366,??,?? ? ??????
BR,367,?? ?? ??,??? ?? ??
BR,368,? ??,? ??? ?????.
BR,369,??  ???  ??  ??  ?  ??  ?,?????? ??? ??? ??? ????
BR,370,?? ???? ?? ??? ???? ??,????? ????? ????? ???? ????
BR,371,? ???? ? ??,?? ?? ???? ?? ??
BR,372,? ?? ?? ???,? ?? ? ? ???? ????
BR,373,? ?? ?? ??,?? ??????.
BR,374,?? ? ?,??? ??? ????
BR,375,?? ?? ?? ?? ?? ?? ??,??? ?? ??? ??? ?? ??? ??? ???
BR,376,???  ??  ? ?,??? ??? ?? ?? ??????
BR,377,??? ?? ?,???? ??? ????
BR,378,???,??????.
BR,379,? ??,? ?? ??? ??????
BR,380,?? ?? ?? ? ?? ?? ??? ??,??? ??? ?? ????.
BR,381,? ?? ? ??? ??,??????? ???????
BR,382,??  ???  ??  ??  ??  ?,??????? ??? ??? ??? ????
BR,383,?,??? ???????
BR,384,?? ??,???? ??? ????.
BR,385,??  ?? ??,???? ??? ?????
BR,386,?? ? ??,?? ??? ???????
BR,387,? ?? ? ? ??? ???,?? ??? ??? ? ???
BR,388,?? ?? ??? ??,?? ??? ????.
BR,389,?? ?? ? ?????,?? ??? ???? ????.
BR,390,? ?? ?? ?? ???,???? ??? ??? ??
BR,391,?? 10?,10? ?? ?????.
BR,392,?? ? ??,?? ??? ?????.
BR,393,? ???? ?? ?,?? ???? ???
BR,394,? ??? ? ????,?? ??? ?? ??? ? ??
BR,395,???  ??  ??  ?  ??  ? ?,??? ???? ??? ?????
BR,396,?? ? ???? ??,??? ?????.
BR,397,?? ? ?? ?? ???,?? ??? ?? ??? ??? ?? ??? ???.
BR,398,??  ?? ?  ???  ??,?? ???? ??? ?????
BR,399,T ??? ? ?? ???,????? ??? ?????.
BR,400,?? ?? ?? ? ?? ?? ??,??? ?? ??? ?? ?? ??? ??? ???
BR,401,?? ?? ? ???,??? ????.
BR,402,? ???? ? ? ??,?? ?? ???? ??? ??
BR,403,??  ??  ?,??? ???? ??? ??? ??? ????
BR,404,?? ? ????? ???,???? ??? ?????.
BR,405,?? ? ???,??? ???
BR,406,?? ???,?? ??????
BR,407,?? ??? ???,??? ??? ???.
BR,408,? ? ?? ?? ??? ???,?? ??? ?? ???
BR,409,?? ????,??? ????.
BR,410,?? ?? ?? ???,??? ??? ???
BR,411,???? ???? ???? ??? ??,????? ?? ???? ?? ???
BR,412,?? ?? ? ???,??? ?? ???
BR,413,?? ? ??,???? ?????????
BR,414,?? ? ?? ??? ??,? ??? ?? ???? ??? ?????
BR,415,?  ??  ??  ??  ???  ?,??? ????? ??? ????
BR,416,?? ? ???,??? ?????
BR,417,? ?? ??,?? ??? ???????
BR,418,? ?? ? ??,??? ??? ????
BR,419,?? ?? ? ??? ???,??? ?? ? ?? ???
BR,420,??? ??? ??? ??,???? ?? ???? ???
BR,421,?? ?? ? ???,?? ??? ?????
BR,422,? ?? ???,?? ?? ??
BR,423,??,????? ??? ?????
BR,424,???? ? ? ?? ????,??????? ??? ?????.
BR,425,?? ?? ? ?? ?? ???,?? ??? ?????.
BR,426,?? ?? ? ?? ? ??,???? ??? ??? ????
BR,427,??,??? ???.
BR,428,?? ? ??,??? ??
BR,429,?? ?,??? ?? ???.
BR,430,?? ??? ?? ??,?????? ????
BR,431,?? ?? ?????,??? ???????.
BR,432,?? ???,??? ???
BR,433,?? ?? ?? ??? ?? ?,? ??? ??? ?? ?? ??? ??
BR,434,?? ?? ?????,??? ????????
BR,435,??  ?  ???  ??  ??  ? ?  ?,??? ???? ??? ?????
BR,436,?? ??,??? ???
BR,437,??? ?? ?? ?? ??,??? ???????.
BR,438,??? ?? ???,???? ?? ??
BR,439,???  ??  ??  ?  ??  ??,??? ???? ??? ?????
BR,440,? ? ??? ?? ??,?? ?? ?? ?? ??? ???.
BR,441,?? ?? ??,??? ???????.
BR,442,? ? ?? ???,??? ?????
BR,443,? ? ?? ???,??? ???????
BR,444,??,??? ??? ????
BR,445,??? ?? ??,????? ?? ??? ??????
BR,446,? ?? ?? ??? ????,??? ???? ?????.
BR,447,?? ??,?? ????? ?????.
BR,448,?? ?? ??? ? ??,???? ?? ??
BR,449,? ??? ? ?? ???,???? ??? ??? ??
BR,450,?? ? ??? ???,??? ??? ?? ????.
BR,451,? ?? ??? ?,?? ?? ??? ?? ??
BR,452,?? ??? ??,??? ??
BR,453,??? ?,???? ??? ????
BR,454,?? ????,???? ???????
BR,455,?? ?? ? ?? ??,? ??? ?? ??
BR,456,?? ???? ???,??? ??? ????.
BR,457,???  ??  ??  ?? ?,???? ??? ? ?? ??? ??????
BR,458,?? ?? ? ?? ????,?? ??? ?????.
BR,459,???  ?? ?? ???,???? ???????
BR,460,?? ?? ? ?? ?? ?? ???,??? ???? ??? ??? ???
BR,461,? ?? ?? ?? ??,?? ??? ??? ??
BR,462,?? ??? ????,??????? ???????
BR,463,?? ???? ??,??? ???????.
BR,464,? ?? ?? ?? ???,??? ??? ? ? ??
BR,465,?? ?? ?? ? ?? ??,??? ??? ??? ??
BR,466,?? ? ??,?? ?? ??? ????.
BR,467,?? ?? ?? ??,?? ??? ????
BR,468,?? ?? ???,?? ??? ????.
BR,469,?? ? ? ?? ????,????? ??? ?????.
BR,470,?? ? 1? ??,??? 1??? ? ? ????
BR,471,?? ?? ??? ???? ??? ????,??? ????? ???? ?? ??? ???
BR,472,? ??,? ? ??????
BR,473,??,?????.
BR,474,?  ???1  ?  ??,??? ??? ????
BR,475,?? ?? ?? ??,?? ???? ???
BR,476,?? ?? ???,????? ???
BR,477,?? ? ?? ???,?????? ????
BR,478,?? ? ?? ??? ??? ?? ???,???? ?? ???? ?? ??? ?? ??? ????
BR,479,?? ? ?? ? ???,?? ??? ?? ??? ?? ?? ??? ???.
BR,480,? ???,?? ???.
BR,481,?? ?? ? ??,??? ????.
BR,482,?? ??? ?? ?? ???,??? ??? ? ???
BR,483,?? ? ?????,?? ??? ?? ????.
BR,484,?? ? ??? ? ??? ??,??? ? ??? ??? ?? ????
BR,485,?? ?? ??,??? ?? ?? ????
BR,486,?? ??,??? ?????
BR,487,?? ? ? ???,???? ?? ?? ????
BR,488,? ???,??? ?????.
BR,489,?? ??? ?? ?? ???,??? ??? ? ???
BR,490,? ? ?? ? ???? ?? ???,?? ?? ?? ????? ?? ??
BR,491,? ?? ?? -?,?? ??? ?? ??
BR,492,?? ??? ??,??? ??? ??
BR,493,??? ?? ????? ???,???? ??? ?? ?????.
BR,494,? ??,???? ??
BR,495,? ??,?? ??? ????
BR,496,?? ?? ??? ?? ??,?? ??? ??? ??? ????
BR,497,?? ?? ??? ?? ??,???? ??? ????
BR,498,?? ? ? ??,??? ??? ?? ????.
BR,499,???  ??  ???  ??  ? ?,????? ??? ?????
BR,500,?? ?? ??? ?? ?? ???? ??,??? ???? ??? ????
BR,501,?? -?? ? ??,???? ?? ?? ??
BR,502,??? ? ?? ?? ????,??? ?? ??? ??? ??????.
BR,503,? ??? ?? ??,?? ?? ???? ??
BR,504,??? ? ?? ??,?? ?? ??? ????
BR,505,? ???,??? ???????
BR,506,?? ?? ? -? ??,??? ???? ???
BR,507,?? ??,??? ???
BR,508,??,?????.
BR,509,??? ?? ?? ????,??? ??? ????????
BR,510,?? ??? ??? ???,??? ?? ???? ???
BR,511,?? ?  ??  ?,? ???? ??? ?????
BR,512,?? ?? ?? ?? ? ???? ??,? ?? ???? ?? ?? ??????
BR,513,?? ??? ??? ??,??? ?? ???? ???
BR,514,?? ?? ????,?? ??? ???????
BR,515,?? ?? ? ? ??? ?? ???,??? ??? ??? ?? ???
BR,516,???  ?  ??  ???  ??,??? ??? ??? ? ????
BR,517,?? -?? ?? ??,???? ??? ?? ??
BR,518,?? ?? ?? ?? ??,???? ??? ??? ????
BR,519,?  ??  ???  ??  ??  ?  ??,????? ??? ??? ????
BR,520,?? ???? ?? ????,? ??? ?????.
BR,521,??? ? ? ????,???? ??? ?? ??????
BR,522,?? ? ?? ??,???? ? ?? ? ??
BR,523,?? ?? ? ??? ???,?? ??? ???? ??
BR,524,? ?? ?????,?? ???????
BR,525,? ? ?? ?? ?? ??,?? ? ??? ?? ?? ???? ???
BR,526,?? ?? ?????,??? ???????.
BR,527,??  ??  ??,??? ?? ? ? ?????
BR,528,?? ?? ???,??? ??? ???
BR,529,?? ???,??? ???
BR,530,??? ? ??? ?? ?,?? ????? ??? ??? ???.
BR,531,?? ??? ? ?? ?,????? ??? ?????.
BR,532,?? ?? ? ??? ?? ???,??? ???? ???? ??? ???
BR,533,? ? ?? ????,? ??? ?????.
BR,534,??  ???  ??  ??  ??  ??,??????? ??? ??? ??? ????
BR,535,?? ??,??? ????????
BR,536,? ?? ??? ?,??? ????
BR,537,?? ?? ? ???,??? ?????
BR,538,?? ??,??? ?????
BR,539,?? ? ?? ??,????? ????
BR,540,?? ?? ?,??? ??? ????
BR,541,???  ??  ??  ??,???? ??? ? ?? ??? ??????
BR,542,?? ???? ??? ??,??? ????
BR,543,?? ?? ????,?? ?? ? ?????.
BR,544,? ? ????,? ?? ????? ??.
BR,545,?  ??  ??  ??  ???  ?  ??,??? ????? ??? ????
BR,546,??  ?,??? ??? ?????
BR,547,?? ??? ?? ?? ??,??? ?? ???? ??
BR,548,??  ??  ??,?? ? ??? ?? ? ?? ??? ??????
BR,549,? ? ???? ? ? ????,??? ??? ???? ????
BR,550,?? ? ?? ???? ??,??? ??? ???? ???? ????
BR,551,?? ? ?? ????,?? ??? ???????
BR,552,?? ? ??,???? ????
BR,553,?? ?? ?? ?? ?? ???,? ?? ??? ???? ??? ????
BR,554,?? ?? ? ?? ?? ??,??? ????? ??? ??? ?????.
BR,555,? ?? ??  ???  ??  ?,?? ???? ??? ?????
BR,556,? ??? ?? ??? ???,?? ???? ??? ??? ???
BR,557,???  ?  ?  ???  ??,?? ??? ??? ? ????
BR,558,? ?? ??? ?? ???? ?? ?? ??,??? ???  ? ? ????
BR,559,? ?? ??? -?,?? ??? ??? ??
BR,560,? ?? ??,?? ????
BR,561,?? ? ??,???? ?????????
BR,562,??  ??  ??,??? ?? ? ? ?????
BR,563,?? ?? ?? ??,?? ??? ??? ? ????
BR,564,??  ??  ??,????? ??? ??? ?????.
BR,565,?? ?? ?? ???,??? ?????
BR,566,?? ??? ??? ???,????? ????.
BR,567,? ??,??? ????.
BR,568,??  ?? ?  ???  ?,?? ???? ??? ?????
BR,569,?? ?? ?,?? ??? ??????
BR,570,??,??? ???.
BR,571,??  ?  ??,?? ??? ?? ? ???? ??? ?????
BR,572,??  ???  ??,??? ??? ???? ????.
BR,573,?? ?? ??,??? ??? ????
BR,574,???  ??  ??  ?  ??  ?  ??,??? ???? ??? ?????
BR,575,? ?? ?? ? ?? ?? ?? ?? ???? ?? ??? ?? ?,?? ?? ??? ???
BR,576,? ?? ?,??? ??? ????
BR,577,? ? ?? ???,?? ?? ??? ?? ??
BR,578,?? ?? ?????,??? ???????.
BR,579,?? ?? ? ?? ?? ?,??????? ??? ???????
BR,580,?? ? ???? ?? ??,?? ?? ???? ????? ???
BR,581,?? ????,??? ????.
BR,582,?? ?? ???,??? ??? ???
BR,583,?? ?? ?? ? ??,?? ??? ?????.
BR,584,??? ??,??? ??
BR,585,??  ??  ???  ?  ??,?? ???? ??? ?????
BR,586,??? ??,???? ???????
BR,587,?? ?? ?? ?? ???,????? ??? ?? ? ??? ????
BR,588,???? ?? ??,???? ??? ????.
BR,589,?? ? ??,??? ?????
BR,590,? ?? ?? ??? ??? ?? ???,???? ??? ?? ??? ???
BR,591,??? ??? ??? ??? ? ?? ?? ?? ???,??? ??? ?? ?? ??? ??? ???
BR,592,?? ?? ?? ??,??? ????.
BR,593,??? ? ??,????? ?? ?? ??????
BR,594,??  ???  ??  ?,?? ???? ??? ?????
BR,595,?? ?? ?? ???,?? ??? ?? ????? ???
BR,596,?? ???? ?? ?? ????,?? ??? ??? ?????
BR,597,?? ??,??? ??? ????
BR,598,??  ?? ?,???? ??? ?????
BR,599,?? ?? ?? ????,??? ????.
BR,600,?? ??? ??,??? ???? ??
BR,601,??? ???? ???,???? ???? ?? ???
BR,602,?? ?? ?? ?? ?? ?? ??,??? ?? ??? ??? ?? ??? ??? ???
BR,603,??  ??,???? ??? ?????
BR,604,?? ??,???????.
BR,605,? ?? ? ?? ??? ? ??,??? ??? ??? ????
BR,606,?? ? ?? ??,??? ?? ??? ??
