gloss,spoken
항공  잠  어디  곳,공항의 침실은 어디에 있습니까?
생선 먹다 위하다 일본 가다,생선을 먹기 위해 일본에 갔다
이화여대 곳 목적 길 방법,이화여자대학교에 어떻게 가나요?
엄마 사과 듣다 짜증,엄마한테 사과를 들었더니 짜증나
이화여대 찾다 목적 길 방법,이화여대쪽으로 가려면 어떻게 가나요?
사람 화 중요,인간화는 중요하다
시간 다음 곳 저기 차내리다,시간 지나서 내려주세요.
항공  표  받다  곳  이것 곳,발권 카운터는 이곳에 있나요?
카드 실종 잃어버리다,카드를 분실하였습니다.
친구 찾다 실종,친구를 잃어버렸습니다.
기 들어 올리는 것을 나타내는 동작 내리다 맞다,거기서 내려드릴까요?
소매 날다 없다 실종,날개를 잃어버렸습니다.
기억 실종,기억을 잃어버리셨나요?
추가 전 버스 곳 차내리다,추가 전 버스정류장 앞에 세워주세요.
하늘 뜨다 마음 편하다,하늘을 뜨면 마음이 편하다
버스 곳 다음 차내리다,버스정류장 지나서 내려드릴까요?
포기 곳 크다 그렇지만 참다 필요,포기하고 싶은 곳이 크지만 참아야 한다
고속버스 전 저기 내리다,고속버스정류장 못가서 내려주세요.
생각 해보다 전 곳,고려대학교 못가서 내려주세요.
산 토끼 물다,산에서 토끼에게 물렸어요.
서울  길  어디,서울 시내로 가는 길 승강장은 어디에 있습니까?
승리 위해 미리 준비 필요하다,승리를 위해 준비해야 한다
사거리 발사,사거리에서 발사 해주세요.
표  직접  누르다  기 들어 올리는 것을 나타내는 동작,셀프체크인은 거기서 가능한가요?
항공  지하철  나  곳,공항철도는 나서 탈 수 있습니까?
눈 불,눈에 불이 났어요.
서울농아인협회 오케이,서울농아인협회에서 내려드릴까요?
핸드폰  저축 두다  곳,휴대폰을 저장할 수 있는 곳이 어디입니까?
쉬다 -때 머리 속 읽다 끝,쉬는 시간에 머릿속을 읽었어
조명 끄다,조명을 꺼드릴까요?
소화 사용 안되다,소화가 안되나요?
나 대하여 답 무엇 궁금하다,나에 대한 답이 궁금하다
돈 많다 하루 갚다 가능 불가능,그 많은 돈을 하루만에 갚는건 불가능해
지하철 문 틈 물건 떨어지다,지하철 틈 사이로 물건이 떨어졌다.
시간 가능 -면 시간 동안 시골 가다 살다 원하다,가능하면 시간동안 시골에 가서 지내고 싶어
공격 차내리다,공격해서 내려드릴까요?
지하철 빨리 오다오다,이 열차는 급행열차입니다.
단말기터치 불량 잘 안되다,카드 인식이 안되네요.
오락 놀다 어렵다,게임이 어려웠다
물품보관 문안열리다 불량,물품보관함이 안되네요.
독 버섯 먹다 같다,독버섯을 먹은 것 같아요.
아기 돌보다 물 없어지다,아기를 돌보면 물이 빠지는 것 같다
고속터미널 곳 가다,고속버스터미널로 가주세요.
카드 되다,카드도 됩니다.
오락 놀다 너무 힘들다,게임이 너무 힘들다
얼마 저기 곳 다음,얼마 지나서 내려드릴까요?
아기  중앙  빌리다  곳,중앙 대여소가 어디에 있습니까?
고양이 집 지키다 유명하다,고양이는 집을 잘 지키는 동물로 알려져 있다
군청 곳 다음 도착 내리다,주민센터 지나서 내려드릴까요?
약 뼈곳,약국은 어디에 있나요?
끝 굶다 가다,끝나고 밥 굶으러 가자
지하철 곳 사랑 있다,역사 안에 사랑이 있나요?
모두 사람 쉽다 아니다,모든 사람이 쉽게 이루어지지 않는다
공장 여러 가지 문 가다,산업 단지 안으로 가주세요.
여행  편안  반갑다  부탁,즐거운 여행 되시기 바랍니다.
주인공 뼈곳,주인공이 어디에 있나요?
분 많다 혼자 불가능,이 많은 분을 혼자서 맡는건 불가능해
여기 곳 서대문구 홍제동 한양 아파트 집 위 곳 약 추락 목적 서다,여기 서대문구 홍제동 한양아파트인데 옥상에서 약이 떨어지려고해요.
지하철 철로 신 손 떨어지다,선로에 발을 떨어뜨렸습니다.
어느 곳 차내리다 맞다,어디서 내려주세요.
학교 주차,학교에 주차하겠습니다.
마음 아프다,내 마음이 아파
몸 아프다 이동 금방,이동이 빠르다
자판기 안되다,자판기가 안되네요.
약 곳 무엇,약국은 어디에 있습니까?
색  포장  곳  어디,색을 포장해서 붙이고 싶은데 어디서 하나요?
소화 안되다,소화가 안되나요?
몸 아프다 원인 모두 귀찮다,신체가 아파서 다 귀찮다
밤 다음 저기 곳 저기,밤 지나서 내려주세요.
나무 빽빽하다 다음 곳 보다 차내리다,숲 지나서 내려주세요.
자유,자유
명동 차내리다,명동역으로 가세요.
항공  배달  어디  곳,공항 내 택배를 보낼 수 있는 곳이 어디입니까?
나,나?
아기 벌 크다 침 팔 주사 쓰러지다,아이가 말벌에 쏘여서 기절했어요.
괜찮다,괜찮다
무엇 -보다 나 더 예쁘다,내가 무엇보다 이뻐
성 차내리다,성에서 내려드릴까요?
셔틀버스 타다 여러분 안내 대하여 전하다,셔틀버스에 타신 승객 여러분께 안내 말씀 드리겠습니다
책 찾다 실종,책을 분실하였습니다.
남편 물 죽 마시다 때문에 고생,남편이 국을 마시기 때문에 힘들다
방 안 없다,방 안에 없나요?
가방  짐들다  한도  최고  가능  몇,위탁 수하물의 한도 한도는 몇 Kg인가요?
누구 미래 친하다,이제부터 누구와 친하게 지내자
군청 곳 다음 차내리다,주민센터 지나서 내려드릴까요?
다음 차내리다 오케이,다음으로 가주세요.
참 정직 지키다 필요,진실을 지켜야 한다
모두 갑자기 토하다,모두가 갑자기 토해요.
오늘 너 주인공 맡다,오늘은 네가 주인공을 맡아
불행 시간 잊다 새롭다 시작,불행했던 시간은 잊고 다시 시작해봅시다
너 저기 자기 몸 자연히 친하다,너 그 자체와 친해?
캐리어  카드  곳  어디,캐리어 카드를 재는 곳은 어디인가요?
탑,탑에서 내려드릴까요?
일 끝 나아가다 원하다,일을 빨리 끝내고 나아가고 싶어
내용 바꾸다 끝,내용을 수정했다
맞다 일 너 배달 맡다,사실은 네가 배달을 맡아
물 이용 만들다 집 벌레 많다,물로 만든 집은 벌레가 많다
공기청정기 안되다 고장,공기청정기가 안되네요.
읽다 집 전 도착 차내리다,도서관 못가서 내려주세요.
나 미래 느끼다 원하다,미래를 느끼고 싶다
안면 불량 사용 안되다,안면 인식이 안되나요?
지금 죽다,여기서 죽겠습니다.
돈 많다 하루 갚다 평등 불평등,그 많은 돈을 하루만에 갚는건 불평등해
닭 하다 원하다,치킨 하고 싶어
아기  모유  곳  어디,유아 수유실은 어디에 있습니까?
우산 실종,우산을 잃어버리셨나요?
차  빌리다  어디  줄을 긋는 동작 자의 모양을 나타내는 동작,렌트카를 빌리는 자은 어디에 있습니까?
누나 동생 심부름 시키다 시장 보내다,누나가 동생을 시장에 심부름을 보냈다
서울농아인협회 가다,서울농아인협회로 가주세요.
집 과제,숙제를 매주세요.
시내 버스 전 저기 곳 저기,시내버스정류장 못가서 내려주세요.
나 -보다 일 잘하다 소리,나보다 일 잘하시니깐 소리가 난다
차  빌리다  곳  무엇,렌트카를 빌리는 곳은 무엇에 있습니까?
가방 없다 잃어버리다,가방을 잃어버렸습니다.
나사렛 전 도착 내리다,나사렛대학교 못가서 내려주세요.
개 약속 지키다 유명하다,개는 약속을 잘 지키는 동물로 알려져 있다
저기 움직이다 하지마 생각 꿈,"이상해, 움직이지마"
비행기  시간  바꾸다2  세금  돈  몇,항공사 예약 변경 수수료를 확인하고 싶은데 어떻게 하나요?
걷다 오래 힘들다,오래 걸었더니 힘들다
핸드폰  충전  지역  어디,휴대폰을 충전할 수 있는 지역이 어디입니까?
공항 버스 보다 전 곳 내리다,공항버스정류장 못가서 내려주세요.
119 곳 다음 내리다,소방서 지나서 내려드릴까요?
저기 일 하다 싫다,그 근무는 하기 싫어
이화여대 곳 목적 무엇 방법,이화여대쪽으로 가려면 어떻게 가나요?
크다,크다
고속버스 전 저기 차내리다,고속버스정류장 못가서 내려주세요.
고생 만나다 아니다 다행,고생 중 다행이다
한국  안  이륙  여기  곳,국내선 출국장이 여기에 있습니까?
너무 귀찮다,너무 귀찮다
대 안 도착,대 단지 안으로 가주세요.
집  항공  가깝다  곳,공항 주변에 집은 어디있나요?
조직 모양  어디  곳,구조 승강장은 어디에 있습니까?
나무 이용 만들다 집 벌레 많다,목조주택에는 벌레가 많다
용산역 참가 되다,용산역에 참가할 수 있나요?
상대 사용 안되다,상대가 안되네요.
나쁘다 기억 치료하다,나쁜 기억을 고치다
돕다 필요,찾는걸 도와줄까
항공  목욕  곳  그 곳,공항 내 샤워실이 저기에 있나요?
여의도 곳 방법,여의도로 가려면 어떻게 가나요?
자판기 고장 죽다,자판기가 안되나요?
부리 날다 집 지키다 유명하다,새는 집을 잘 지키는 동물로 알려져 있다
나사렛 곳,나사렛대학교로 가십시오.
계절 덥다 날 따뜻하다 자다,여름 날씨가 따뜻해서 졸려
매일 먹다 너무 귀찮다,매일 먹는게 귀찮다
롯데월드 타다 목적 지하철 번호,롯데월드로 타려면 몇 호선을 타야하나요?
옷 크다 입다 불가능,옷이 너무 커서 입을 수 없다
사랑 사람 잊다 쉽다 어렵다,사랑했던 분을 잊는건 어렵다
불행 기억 그대로 찾다 새롭다 시작,불행했던 기억은 되찾고 다시 시작해봅시다
항공  잠  곳  그 곳,공항 내 수면실이 저기에 있나요?
다리 단말기터치 다시,다리를 다시 대세요.
선물  비행기  안  가지다  가능,선물을 기내에 가져갈 수 있나요?
중앙 차내리다 오케이,중앙대학교에서 내려드릴까요?
지금 끝 화 많다,그 동안 화가 많으셨습니다
이익 손해 잘 안되다 죽다,이해가 안되나요?
계절 따뜻하다 되다 세상 노랗다 변하다,봄이 되면 온 세상이 노랗다
천안아산역 가다,천안아산역으로 가주세요.
짐 없다,짐이 있나요?
미안 다시 곳 생기다 아니다 주의,죄송합니다 다신 이런 곳이 없도록 주의하겠습니다.
고속버스 전 곳 보다 차내리다,고속버스정류장 못가서 내려주세요.
만들다,만들다
바닥 너무 더럽다 청소 보람 불가능,바닥이 너무 더러워서 청소해도 소용이 없다
일 많다 가운데 불가능,이 많은 일을 가운데서 맡는건 불가능해
지금 미소 충전 가능,지금 미소를 충전할 수 있나요?
물품보관 문안열리다 안되다,물품보관함이 안되네요.
책 갈아타다 곳곳 도움받다,책 갈아타는 것 좀 도와주세요.
헤어지다,헤어지다
주인공  어디  곳,주인공은 어디에 있습니까?
편지 저기 곳 다음 내리다,우체국 지나서 내려드릴까요?
여행  정보  묻다  어느 시간  곳,관광안내소는 언제에 있습니까?
초밥 배우다 위하다 일본 가다,초밥을 배우기 위해 일본에 갔다
집 잃어버리다 찾다 방법,"집을 잃어버렸는데, 분실물은 어디서 찾나요?"
아파트 가다,아파트 단지 안으로 가주세요.
짐  무게  초과  추가  돈주다  어느 시간,수하물 추가요금은 언제서 내나요?
간 다음 곳 저기 차내리다,간 지나서 내려주세요.
핸드폰 사라지다 실종,휴대전화기를 잃어버렸습니다.
나 송파 지하철 맞다,나는 송파역입니다.
수류탄 여러 가지 사라지다 실종,무기를 분실하셨나요?
형 선물 필요 동생 시키다 선물 장소 보내다,형은 선물을 사오라고 동생을 서점에 보냈다
곰 놀다 곳 놀다 팔 잡다,곰이 놀이터에서 놀다가 팔이 부러졌어요.
고민 필요 같다,고민할 필요가 있을것 같아
나 대답 듣다 아니다 왜,왜 내대답을 듣지 않아
시내 버스 곳 저기 다음 도착 차내리다,시내버스정류장 지나서 내려드릴까요?
집 가다 엉덩이 계시다 아니다,집에 와보니 엉덩이가 안 계셨다
유리 벽 넘어지다,유리 벽이 무너질려고 해요.
수영 장소 세상 깨끗하다 아니다,수영장 세상이 깨끗하지 않아
나 당신 비교 나 빠르다,당신보다 내가 더 빨라
구름 저기 곳 다음 내리다,구름 지나서 내려드릴까요?
가방  짐들다  무게  최고  가능  몇,위탁 수하물의 무게 제한은 어떻게 됩니까?
안내소 곳,안내데스크는 어디에 있나요?
우산 찾다 실종,우산을 잃어버렸어요.
물건  잃어버리다  검사  두다  곳  누구,유실물 센터는 누구에 있습니까?
물건  사랑  곳  어디,물건을 사랑해서 붙이고 싶은데 어디서 하나요?
신분당 곳 무엇,신분당선을 타는 곳은 어디인가요?
지하철 곳 다음 도착 차내리다,지하철역 지나서 내려드릴까요?
문제 쉽다,문제는 쉬웠다
손톱 움직이다 손톱 마르다 가능,손톱을 자주 움직여야 살이 빠진다
나무 빽빽하다 다음 도착 내리다,숲 지나서 내려주세요.
바다 가깝다 곳 개구리 오다,해안가에 개구리가 나타났어요.
목적 장소 곳 가다 원하다 길 무엇,목적지로 가려면 어떻게 가나요?
왼쪽,좌측이요?
학교 가다,학교에 가다
포기 부분 크다 그렇지만 참다 필요,포기하고 싶은 부분이 크지만 참아야 한다
오늘 사랑 깨지다 결혼 부탁,오늘 헤어졌는데 결혼해줘
차 갑자기 멈추다,차가 갑자기 중간에 멈췄어요.
담배  라이터  짐  맡기다  가능,라이터를 위탁 수하물로 보낼 수 있나요?
우리 둘 학교 같다,우리는 같은 학교에 간다
시간 곳 다음,시간 지나서 내려드릴까요?
수레  빌리다  곳  그 곳,휠체어 대여소가 저기에 있습니까?
일 끝 쉬다 원하다,작업을 빨리 끝내고 쉬고 싶어
집 가다 글자 쓰다 계시다 아니다,집에 와보니 글씨가 안 계셨다
항공  표  받다  이것 곳  곳,발권 카운터는 이곳에 있나요?
사진기 찾다 실종,카메라를 분실하였습니다.
가방  짐들다  이용  한계  몇,위탁 수하물의 이용 한도는 몇 Kg인가요?
차밀리다,차가 막힙니다.
책  여기,서점은 여기에 있습니까?
전기 힘  충전  네모  짐  맡기다  가능,전력 보조 배터리를 위탁 수하물로 보낼 수 있나요?
한국  안  다르다  나라  이륙  여기  곳,국제선 출국장이 여기에 있습니까?
편의점  무엇  곳,편의점은 무엇에 있습니까?
캐리어  차  어디,캐리어 차를 재는 곳은 어디인가요?
이제 쉬다,이제 쉬자
먹다 말 베다,말을 하다가 손가락을 칼에 베였어요.
길거리 다니다 -중,길거리를 다니고 있어
어머니 방학 때 아들 시골 보내다,어머니는 방학이면 아들을 시골에 보냈다
운 없다,운이 없어
지하철 철로 기름 떨어지다,선로에 기름을 떨어뜨렸습니다.
좌회전 확인 먹다,좌회전 먹으시죠?
아기 벌 크다 침 팔 주사 쓰러지다,애가 말벌에 쏘여서 기절했어요.
무엇 말 나다 맞다,무슨 말이 생긴건 아니야
미래 무엇 너무 궁금하다,미래가 어떻게 되었는지 정말 궁금하다
학생 공부 듣다 아니다 놀다 뿐,그 아이는 공부를 듣지 않고 놀기만 한다
보물 곳 길,보물은 어디에 있나요?
기계 힘 아프다 원인 모두 귀찮다,성능이 아파서 다 귀찮다
커피  여기,커피숍은 여기에 있습니까?
4사람,모두 4명인가요?
기분 끄다,기분 좀 꺼주세요.
낯선 뒤 쫓아오다,이상한 인간이 저를 쫓아와요
여자 아기 자다 곁 보다 행복 미소,그녀는 잠든 아이의 곁을 보고 행복한 미소를 지었다
저기 방 안에 사랑 있다,저방에 사랑이 있어
방 너무 더럽다 청소 보람 불가능,방이 너무 더러워서 청소해도 소용이 없다
동굴 무너지다 감히다,터널이 무너져 갇혔습니다.
여자 잊다,여자가 무엇인지 잊어버렸다
나사렛 도착,나사렛대학교로 가주세요.
부모 나 함께 다니다 -중,부모님과 함께 다니고 있다
택시 전 저기 곳 도착 차내리다,택시정류장 못가서 내려주세요.
응급실 가다,응급실로 가주세요.
수레  빌리다  이것 곳  곳,휠체어 대여소가 이곳에 있습니까?
항공  짐  검사  두다  기 들어 올리는 것을 나타내는 동작,수하물보관소가 거기에 있습니까?
아이 잃어버리다,애를 잃어버리셨나요?
언니 생일 만들다,언니의 생일을 만들었다
서울 곳 찾다 길 가다 방법,서울로 가려면 어떻게 가나요?
아파트 가다,아파트 단지 내부으로 가주세요.
결말 나쁘다,결말은 나쁘다
밤 곳 다음 보다 내리다,밤 지나서 내려주세요.
시청,시청으로 가주세요.
카페  그 곳  곳,커피숍은 저기에 있습니까?
엄마 콩 간 병 쓰러지다,엄마가 신장병에 있는데 쓰러지셨어요.
밤 다음,밤 지나서 내려주세요.
싸움 힘들다 마음 편하다,싸움은 힘들지만 마음을 편하다
개,개났습니다.
저기 방 안에 밤 있다,저방에 밤이 있어
샛길 저기 다음 도착 내리다,골목길 지나서 내려드릴까요?
말 나쁘다,말은 나쁘다
나 여행 자유 원하다,자유롭게 여행하고 싶다
문제 아무다 아무 말해 약속,문제가 생기면 아무한테 말해
연속 번호,몇 번 연속인가요?
항공  지하철  어느 시간  곳,공항철도는 언제서 탈 수 있습니까?
귀엽다,고거 참 깜찍하고 귀엽네
가방 안 가다,가방 안으로 들어갈까요?
지하철 반대 건너다 향하다,반대편 승차장으로 향하려고 합니다.
지하철 반대 건너다 빠지다,반대편 승차장으로 빠지려고 합니다.
아기 돈 먹다 삼키다,아기가 돈을 삼켰어요.
파리바게트 다음 곳 저기,파리바게뜨 지나서 내려주세요.
지갑 실종,지갑을 분실하였습니다.
미래 만화 사람 원하다,커서 만화가가 되고 싶다
일 끝 도깨비  깊다 지하 가다,일을 끝내고 지옥에 갔어
어느 곳 기다리다,어디서 기다릴까요?
도착 빠르다 정도를 나타내는 동작 알려받다,도착 속도 좀 알려주세요.
집 주인 놀다 곳 놀다 팔 잡다,주인이 놀이터에서 놀다가 팔이 부러졌어요.
한국 글자 뜻 불량 잘 안되다,한글 인식이 안되나요?
커피  곳  어느 시간,커피숍은 언제에 있습니까?
다르다  나라  인터넷  신청  곳,로밍센터는 어디에 있습니까?
나 자신 때문에 걱정 -중,자신 때문에 걱정이 많아
출발 3시,3시에 출발합니다.
턱 없다 어떻게,입을 턱이 없어 막막해
반 안 일등 하다,반에서 일등을 하다
돈 많다 하루 모으다 가능 불가능,그 많은 돈을 하루만에 모으는건 불가능해
목 작다,목이 작다
에어컨 끄다,에어컨 좀 꺼주세요.
안전벨트,안전벨트를 매십시오.
아버지 키우다 했었다 소 팔다 학교 남 보내다,아버지는 키우던 소를 팔아 남을 학교에 보냈다
어지럽다 쓰러지다,어지러워 쓰러졌습니다.
무엇 -보다 일 잘하다 질투,무엇보다 일 잘하시니깐 질투가 난다
휴식 시간 알려받다,휴식 시간 좀 알려주세요.
인천  버스  어디  곳,인천 시내로 가는 버스 승강장은 어디에 있습니까?
기억 잃어버리다 찾다 방법,"기억을 잃어버렸는데, 분실물은 어디서 찾나요?"
가슴 병 아프다,가슴이 아프다
생각 필요 같다,생각할 필요가 있을것 같아
터널 다음 내리다,터널 지나서 내려주세요.
시 지다 곳 내리다 맞다,시청정류장에서 내려드릴까요?
자신 동생 돌보다 모습 어른 같다,그 자신은 조숙해서 동생을 돌보는 품이 어른같다
명동 가다,명동역으로 갈까요?
아빠 딸 미국 보내다 위하여 준비 열심히,아버지는 딸을 미국으로 유학 보내기 위해 열심히 준비했다
불행 했었다 과거 잊다 살다 노력,불행했던 과거는 잊고 살려한다
ㅈ 세계 곳 가다 곳 방법,지구로 가려면 어떻게 가나요?
지하철 시간 딱,열차 배차 시간은 일정합니까?
목걸이 없다 실종,목걸이를 분실하셨나요?
이나 번호,몇 번 이나인가요?
사춘기 아들 턱 털 나다,사춘기가 된 아들의 턱에 털이 나기 시작했다
차 트렁크열다,트렁크 좀 열어주세요.
배 차내리다,배에서 내려드릴까요?
밤 저기 곳 다음,밤 지나서 내려주세요.
설명 어렵다,설명이 어려우신가요?
그녀 -보다 여자 더 마르다,그녀보다 그 여자가 더 말랐어
배 침몰,배가 침몰하고 있어요.
제일  가깝다  기차 곳  찾다  드리다,가장 가까운 역으로 검색해드리겠습니다.
색 너무 더럽다 청소 보람 불가능,색이 너무 더러워서 청소해도 소용이 없다
롯데월드 들어가다 목적 지하철 번호,롯데월드로 들어가려면 몇 호선을 타야하나요?
항공  잠  곳  어디,공항 내 수면실이 어디에 있나요?
아파트 문 가다,아파트 단지 안으로 들어가시기 바랍니다.
아기  자유  빌리다  곳  어디,자유 대여소가 어디에 있습니까?
아버지 키우다 했었다 소 팔다 학교 간 보내다,아버지는 키우던 소를 팔아 간을 학교에 보냈다
은행 다음 여기,은행 지나서 내려드릴까요?
주인공 책 필요 동생 시키다 책 장소 보내다,주인공은 책을 사오라고 동생을 서점에 보냈다
뒤 곳,뒤로 가주세요.
중앙 곳 다음 차내리다,중앙정류장 지나서 내려주세요.
먹다  어느 시간,식당은 언제에 있습니까?
선택 받다 미안,선택 받았다면 미안해
나이가 들면 코밑 양쪽으로 생기는 팔자(八) 모양의 금을 나타내는 동작 남성 나 위하다 음식 맛있다 주다,아빠가 날 위해서 맛있는 음식을 해주셨다
주차  1번  곳  그 곳,제1 주차장은 저기에 있습니까?
보다 부족 답답하다,내 자신이 부족해서 한심했다
남동생 병 가지다 학교 장소 가다,남동생이 병을 가지고 학교에 갔다
목소리 커,목소리가 너무 커
가방  짐들다  한도  한계  몇,위탁 수하물의 한도 한도는 몇 Kg인가요?
맞다 답 무엇 곳,정답이 어디에 있나요?
돌아가다 목적 학교 가다,돌아가기 위해 학교에 갔다
항공  지하철  어디  곳,공항철도는 어디서 탈 수 있습니까?
입술 춥다 따뜻하다 입다 가다,입술이 추우니 따뜻하게 입고 가
밤 다음 곳 보다 내리다,밤 지나서 내려주세요.
서울 방법,서울로 가려면 어떻게 가나요?
서다 이야기 보류 자연 미루다,출연이 보류되어 미루게 되었다
나 너 싫다,당신이 싫어요
비행기  안  캠코더  가지다  가능,캠코더를 기내에 반입할 수 있습니까?
조금 부상 전 도착 내리다,경상대학교 못가서 내려주세요.
겨울 끝 눈 빨리 다가오다,겨울이 끝나면 눈이 온다
주차  1번  어디  곳,제1 주차장은 어디에 있습니까?
지하철 문 틈 핸드폰 떨어지다,지하철 틈 사이로 휴대전화가 떨어졌습니다.
가방 찾다 실종,가방을 분실하셨나요?
딸 대학 보내다,딸을 대학에 보내다
서대문농아인복지관 오케이,서대문 청각장애인복지관에 내려주실 수 있나요?
보다 생각 답답하다,내 자신이 생각해서 한심했다
나 이거 다르다,나는 이거와 다르다
-다가 중지 1시간 전,1시간 내로 중단합니다.
비행기  안  물  병  가지다  가능,물병을 기내에 반입할 수 있습니까?
숨다 성질 사용 안되다 고장,음성 인식이 안되나요?
지갑 사라지다 실종,지갑을 분실하였습니다.
미래 곳 가다 방법,미래로 가려면 어떻게 가나요?
용기 나다 나 말해 약속,용기가 생기면 나한테 말해
지금 영어 해보다,가기전에 먼저 영어로 물어보자
여행  그룹  가입  어디  곳,여행자그룹을 가입하고 싶은데 어디서 하면 되나요?
나 내리다 맞다,나서 내려드릴까요?
제작 보류 자연 미루다,제작이 보류되어 미루게 되었다
딸 여행 다니다 -중,딸이 여행을 다니고 있어
캐리어  씨  어디,캐리어 씨를 재는 곳은 어디인가요?
대로 다음,큰 길 지나서 내려드릴까요?
여기 차 되다,여기서 차를  탈 수 있습니다.
학교 곳,학교로 가주세요.
코끼리 집 지키다 유명하다,코끼리는 집을 잘 지키는 동물로 알려져 있다
지금 까지 놀다 오늘 일 시작,그 동안 놀았으니 다시 일을 거행해야겠다
나 집 불,우리 집에 불이 났어요.
빨리 돕다 부탁,빨리 도와주세요.
짐  무게  초과  추가  돈주다  곳  어디,수하물 추가요금은 어디서 내나요?
왼쪽 내리다 오케이,왼쪽으로 가주세요.
어머니 실종 잃어버리다,어머니를 잃어버리셨나요?
병원  곳,의무실은 어디에 있습니까?
한국농아인협회 차내리다 오케이,한국농아인협회에서 내려드릴까요?
맡다 일 완료 끝,맡은 기능을 거뜬히 해낸다
토요일 -때 돌아가다 원하다,토요일에 돌아가고 싶어
고양이 낳다 그렇다면 행복 고생 더 2배,고양이를 낳으면 행복과 고생은 두배이다
사랑 가능,사랑 할 수 있을까요?
영어 갖다 원하다,영어를 갖고 싶어
딸 유치원 떠나다 -중,딸이 유치원을 떠나고 있어
설명 불량 사용 안되다,설명이 안되네요.
여기 나오다 맞다,여기서 나오는 것이 맞나요?
영어 가다 내리다,영어로 갈까요?
핸드폰  충전  곳  어디,휴대폰을 충전할 수 있는 곳이 어디입니까?
이야기 다시,다시 이야기해드릴까요?
유리 고장 살 밟다 살바닥 상처,유리가 깨져서 살을 다쳤어요.
아기 돌 보석 갇히다,아이가 옥에 갇혔어요.
목적 장소 곳 가다 방법,목적지로 가려면 어떻게 가나요?
애 미치다 병 물다,광견병에 걸린 애에게 물렸어요.
달라붙는 동작 문지르는 동작 이용 만들다 집 벌레 많다,풀로 만든 집은 벌레가 많다
나무 빽빽하다 다음 내리다,숲 지나서 내려드릴까요?
약 보다 차내리다,약국 좀 들렀다가주세요.
휴대폰 잃어버리다 실종,휴대폰을 분실하셨나요?
철수 오늘 방송 장소 1등 하다,철수는 이번에 방송에서 일등을 했다
남동생 약 가지다 학교 장소 가다,남동생이 약을 가지고 학교에 갔다
육교 곳 다음 내리다,다리 지나서 내려드릴까요?
중국  먹다  곳  어디,중국집은 어디에 있나요?
소  돼지  키우다  검사  신고  곳,축산관계자 신고는 어디서 하나요?
안경 사라지다 실종,안경을 잃어버렸어요.
지하철 반대 건너다 내리다,반대편 승차장으로 내리려고 합니다.
언니 생일 맞추다,언니의 생일을 맞추었다
아기  공기  빌리다  어디  곳,공기 대여소가 어디에 있습니까?
미래 곳 가다 원하다 길 무엇,미래로 가려면 어떻게 가나요?
빨리,빨리 가주세요.
친구 잔소리 듣다 짜증,친구한테 잔소리를 들었더니 짜증나
사람 놀다 곳 놀다 팔 잡다,사람이 놀이터에서 놀다가 팔이 부러졌어요.
아버지 키우다 했었다 애 팔다 학교 아들 보내다,아버지는 키우던 애를 팔아 아들을 학교에 보냈다
병원 전 내리다,병원 못가서 내려주세요.
저기 학교 가다,학교로 들어가주세요.
아기  임시  빌리다  곳,임시 대여소가 어디에 있습니까?
항공  잠  곳  이것 곳,공항 내 수면실이 이곳에 있나요?
지하철 곳 다음 곳,지하철역 지나서 내려드릴까요?
태양 무엇 곳,태양이 어디에 있나요?
아이 돌보다 힘 없어지다,아이를 돌보면 힘이 빠지는 것 같다
버스,버스에서 내려드릴까요?
촬영 끝 친구 헤어지다 섭섭,촬영이 끝나고 친구들과 헤어지고 섭섭하다
잠깐 기다리다,잠깐 기다려주세요.
신호등 다음 도착 차내리다,신호등 지나서 내려드릴까요?
호텔  항공  가깝다  곳  어디,공항 근처에 호텔이 있습니까?
소 키우다 했었다 소 팔다 학교 아들 보내다,소는 키우던 소를 팔아 아들을 학교에 보냈다
집 문 넘어오다,집에 문이 들어왔어요.
어머니 키우다 했었다 소 팔다 학교 아들 보내다,어머니는 키우던 소를 팔아 아들을 학교에 보냈다
차  빌리다  방법,렌트카를 이용하려면 어떻게 해야 하나요?
아기 갑자기 토하다,갓난아기가 갑자기 토해요.
소  돼지  키우다  검사  요리  곳  어디,축산관계자 요리는 어디서 하나요?
밖 춥다 돌아보다 하지마 집 계시다,밖은 추우니 돌아보지 말고 집에 있어
쌍둥이 낳다 그렇다면 행복 사랑 더 2배,쌍둥이를 낳으면 행복과 사랑은 두배이다
낚시대  짐  맡기다  가능,낚시대를 위탁 수하물로 보낼 수 있나요?
불춥불다불 불켜불다불,불 좀 켜드릴까요?
예전 적 때문에 기억 애매,오래전 적이라 좀처럼 기억나지 않는다
차 저기 곳 다음 내리다,차서 지나서 내려주세요.
너 위하다 노력 끝,너를 위해 노력했어
사람 두 가지 사람이 겹치다 바쁘다,사람이 많아서 너무 바쁘다
엄마 생각 때문에 기분 별로,엄마가 생각해서 기분이 별로야
다르다  나라  인터넷  신청  곳,로밍센터는 어디에 있나요?
지하철 문 의 이어폰 떨어지다,지하철 의 사이로 이어폰이 떨어졌습니다.
커피  어디,커피숍은 어디에 있습니까?
핸드폰  충전  어디,휴대폰을 충전할 수 있는 장소는 어디입니까?
나 짐 많다 돕다본인 가능,나 보따리가 많은데 도와줄 수 있어
젊다 꼬마 여자 무엇 곳,소녀는 어디에 있나요?
오늘 곳,오늘은 어디에 있나요?
