,gloss,spoken,combined
3486,아버지 아기 낳다 4,아버지가 아이 넷을 낳았다,아버지 아기 낳다 4아버지가 아이 넷을 낳았다
3488,매일 보다,매일 보다,매일 보다매일 보다
3489,편의점 여기,편의점은 여기에 있습니까?,편의점 여기편의점은 여기에 있습니까?
3490,꿈 뼈곳,꿈은 어디에 있나요?,꿈 뼈곳꿈은 어디에 있나요?
3492,귀 단말기터치 다시,귀를 다시 대세요.,귀 단말기터치 다시귀를 다시 대세요.
3493,아래 보다,아래를 보다,아래 보다아래를 보다
3494,아기 크다 굴 갇히다,아이가 동굴에 갇혔어요.,아기 크다 굴 갇히다아이가 동굴에 갇혔어요.
3498,차 빌리다 그 곳,렌트카를 빌리는 곳은 그곳에 있습니까?,차 빌리다 그 곳렌트카를 빌리는 곳은 그곳에 있습니까?
3501,어머니 장난감 먹다 삼키다,어머니가 장난감을 삼켰어요.,어머니 장난감 먹다 삼키다어머니가 장난감을 삼켰어요.
3502,기차 추락,기차가 추락하고 있어요.,기차 추락기차가 추락하고 있어요.
3503,쥐 길 배우다 중에,지름길을 배우고 있어,쥐 길 배우다 중에지름길을 배우고 있어
3505,버튼 찾다 실종,버튼을 분실하였습니다.,버튼 찾다 실종버튼을 분실하였습니다.
3506,사랑 길 무엇,사랑은 어디에 있나요?,사랑 길 무엇사랑은 어디에 있나요?
3508,공장 여러 가지 저기 곳,산업 단지 안으로 가주세요.,공장 여러 가지 저기 곳산업 단지 안으로 가주세요.
3509,색 크다 입다 불가능,색이 너무 커서 입을 수 없다,색 크다 입다 불가능색이 너무 커서 입을 수 없다
3510,의미 있다,의미가 있으세요?,의미 있다의미가 있으세요?
3511,만들다 물건 너무 힘들다,작품이 너무 힘들다,만들다 물건 너무 힘들다작품이 너무 힘들다
3513,남 지역 곳 맞다,남부정류장에서 내려주세요.,남 지역 곳 맞다남부정류장에서 내려주세요.
3514,훌륭하다 사람 어디 곳,영웅은 어디에 있습니까?,훌륭하다 사람 어디 곳영웅은 어디에 있습니까?
3515,설명 고장 잘 안되다,설명이 안되네요.,설명 고장 잘 안되다설명이 안되네요.
3517,배,배에서 내려드릴까요?,배배에서 내려드릴까요?
3518,불평등 변하다 평등,불평등한 일은 없다,불평등 변하다 평등불평등한 일은 없다
3522,말 복수 힘들다,말을 동시에 하려니 힘들다,말 복수 힘들다말을 동시에 하려니 힘들다
3523,성격 다르다 당황,성격이 달라서 당황했다,성격 다르다 당황성격이 달라서 당황했다
3525,시 지다 목적 가다,김포시청으로 갈까요?,시 지다 목적 가다김포시청으로 갈까요?
3527,저기 움직이다 하지마 방해,"방해해, 움직이지마","저기 움직이다 하지마 방해방해해, 움직이지마"
3531,이유 잊다,이유가 무엇인지 잊어버렸다,이유 잊다이유가 무엇인지 잊어버렸다
3532,마음 저기 가다,마음 안으로 들어갈까요?,마음 저기 가다마음 안으로 들어갈까요?
3533,사랑 잃어버리다,사랑을 잃어버리셨나요?,사랑 잃어버리다사랑을 잃어버리셨나요?
3534,저기 움직이다 하지마 조심,"조심해, 움직이지마","저기 움직이다 하지마 조심조심해, 움직이지마"
3536,따뜻하다 산 곳 맞다,남산정류장에서 내려드릴까요?,따뜻하다 산 곳 맞다남산정류장에서 내려드릴까요?
3537,시 지다 도착 가다,김포시청으로 갈까요?,시 지다 도착 가다김포시청으로 갈까요?
3538,문제,문제가 가장 쉬웠어요,문제문제가 가장 쉬웠어요
3543,상자 사라지다 실종,상자를 분실하였습니다.,상자 사라지다 실종상자를 분실하였습니다.
3544,박수 돕다 확인 맞다,응원 해드릴까요?,박수 돕다 확인 맞다응원 해드릴까요?
3545,불행 만나다 아니다 병,불행 중 병이다,불행 만나다 아니다 병불행 중 병이다
3546,최고 빠르다 차내리다,전속력으로 가주세요.,최고 빠르다 차내리다전속력으로 가주세요.
3548,항공 표 여기,항공사 카운터는 여기에 있습니까?,항공 표 여기항공사 카운터는 여기에 있습니까?
3549,형 동생 각각 성격 다르다,형제들은 각각 성격이 다르다,형 동생 각각 성격 다르다형제들은 각각 성격이 다르다
3552,음악 끄다,음악을 꺼드릴까요?,음악 끄다음악을 꺼드릴까요?
3554,때리다 부탁,때려서 부탁해,때리다 부탁때려서 부탁해
3557,생각 해보다,고려대학교에서 내려드릴까요?,생각 해보다고려대학교에서 내려드릴까요?
3558,기억 잊다 듣다 못하다,기억해요 잠시 깜박했나봐요,기억 잊다 듣다 못하다기억해요 잠시 깜박했나봐요
3559,진짜 따뜻하다 마음,진심으로 인정해,진짜 따뜻하다 마음진심으로 인정해
3560,마이크 놀다 곳 실종,마이크를 공원에서 잃어버렸어요.,마이크 놀다 곳 실종마이크를 공원에서 잃어버렸어요.
3561,언어 사용 불가능 고장,언어 인식이 안되나요?,언어 사용 불가능 고장언어 인식이 안되나요?
3563,사랑 위하다 운동 필요,사랑을 위해 운동해야 한다,사랑 위하다 운동 필요사랑을 위해 운동해야 한다
3564,선생님 나 등 가르치다,선생님이 나에게 등을 가르쳐주셨다,선생님 나 등 가르치다선생님이 나에게 등을 가르쳐주셨다
3565,사람 각각 색깔 다르다,사람들은 각각 색깔이 다르다,사람 각각 색깔 다르다사람들은 각각 색깔이 다르다
3566,카페 여기,커피숍은 여기에 있습니까?,카페 여기커피숍은 여기에 있습니까?
3567,가슴 몸 끼다,가슴에 몸이 끼었어요.,가슴 몸 끼다가슴에 몸이 끼었어요.
3568,남자 생각 마지막 말,그는 오랜 생각끝에 말했다,남자 생각 마지막 말그는 오랜 생각끝에 말했다
3569,생각 해보다 내리다 오케이,고려대학교에서 내려드릴까요?,생각 해보다 내리다 오케이고려대학교에서 내려드릴까요?
3570,생각 해보다 가다 내리다,고려대학교로 갈까요?,생각 해보다 가다 내리다고려대학교로 갈까요?
3571,중앙 도착 가다,중앙대학교로 갈까요?,중앙 도착 가다중앙대학교로 갈까요?
3572,결말 나쁘다,결말은 나쁘다,결말 나쁘다결말은 나쁘다
3573,학교 공부,수업은 어디서 하나요?,학교 공부수업은 어디서 하나요?
3574,간 다음 곳 보다 차내리다,간 지나서 내려주세요.,간 다음 곳 보다 차내리다간 지나서 내려주세요.
3575,지갑 실종,지갑을 분실하였습니다.,지갑 실종지갑을 분실하였습니다.
3576,분 많다 혼자 불가능,이 많은 분을 혼자서 맡는건 불가능해,분 많다 혼자 불가능이 많은 분을 혼자서 맡는건 불가능해
3577,다시 하다 기쁘다,다시 하게 되어 정말 기쁘다,다시 하다 기쁘다다시 하게 되어 정말 기쁘다
3578,핸드폰 사용 곳,휴대폰을 사용할 수 있는 곳이 어디입니까?,핸드폰 사용 곳휴대폰을 사용할 수 있는 곳이 어디입니까?
3579,차례 부서 있다,항목이 있습니다.,차례 부서 있다항목이 있습니다.
3580,미소 찾다 실종,미소를 잃어버리셨나요?,미소 찾다 실종미소를 잃어버리셨나요?
3583,생각 해보다 목적,고려대학교로 가주세요.,생각 해보다 목적고려대학교로 가주세요.
3584,성 확인 맞다,성이 맞습니다.,성 확인 맞다성이 맞습니다.
3585,시내 버스 곳 내리다 맞다,시내버스정류장에서 내려드릴까요?,시내 버스 곳 내리다 맞다시내버스정류장에서 내려드릴까요?
3586,여자 나 친하다 아이,그녀는 나와 아주 친한 아이야,여자 나 친하다 아이그녀는 나와 아주 친한 아이야
3590,정차 곳 다음 내리다,정차정류장 지나서 내려주세요.,정차 곳 다음 내리다정차정류장 지나서 내려주세요.
3591,저기 추가 가다,추가로 들어가주세요.,저기 추가 가다추가로 들어가주세요.
3592,아프다 원인 대 입원,아파서 대에 입원했다,아프다 원인 대 입원아파서 대에 입원했다
3593,목소리 찾다 실종,목소리를 잃어버렸습니다.,목소리 찾다 실종목소리를 잃어버렸습니다.
3594,비행기 여기 되다,여기서 비행기를 탈 수 있나요?,비행기 여기 되다여기서 비행기를 탈 수 있나요?
3595,하늘 보다 말 편하다,하늘을 보면 말이 편하다,하늘 보다 말 편하다하늘을 보면 말이 편하다
3596,상황 불량 잘 안되다,상황 인식이 안되네요.,상황 불량 잘 안되다상황 인식이 안되네요.
3597,시작 맞다,시작 해드릴까요?,시작 맞다시작 해드릴까요?
3598,아버지 아프다,아버지가 아파서 병원에 갔다,아버지 아프다아버지가 아파서 병원에 갔다
3599,엄마 미안 때문에 기분 별로,엄마가 미안해서 기분이 별로야,엄마 미안 때문에 기분 별로엄마가 미안해서 기분이 별로야
3600,아기 말 바꾸다2 곳,말 갈이대는 어디에 있습니까?,아기 말 바꾸다2 곳말 갈이대는 어디에 있습니까?
3601,나 위하다 준비 끝,나를 위해 준비했어,나 위하다 준비 끝나를 위해 준비했어
3602,범위 안 곳,범위 안으로 들어갈까요?,범위 안 곳범위 안으로 들어갈까요?
3603,저기 랑 하다 싫다,그 랑은 하기 싫어,저기 랑 하다 싫다그 랑은 하기 싫어
3604,처리,처리합니다.,처리처리합니다.
3605,먹다 곳 여기,식당은 여기에 있습니까?,먹다 곳 여기식당은 여기에 있습니까?
3606,나무 빽빽하다 곳 다음 보다 내리다,숲 지나서 내려주세요.,나무 빽빽하다 곳 다음 보다 내리다숲 지나서 내려주세요.
3607,표현 사용 안되다 고장,표현이 안되네요.,표현 사용 안되다 고장표현이 안되네요.
3608,아기 모유 여기,유아 수유실은 여기에 있습니까?,아기 모유 여기유아 수유실은 여기에 있습니까?
3609,서울 곳 찾다 방법 무엇,서울로 가려면 어떻게 가나요?,서울 곳 찾다 방법 무엇서울로 가려면 어떻게 가나요?
3610,뒤 내리다 가다,뒤로 가주세요.,뒤 내리다 가다뒤로 가주세요.
3611,하나 다음 쉬다,다음 역에서 쉬시나요?,하나 다음 쉬다다음 역에서 쉬시나요?
3612,중앙 전 저기 곳,중앙정류장 못가서 내려주세요.,중앙 전 저기 곳중앙정류장 못가서 내려주세요.
3613,정신 없다 잃어버리다,정신을 잃어버리셨나요?,정신 없다 잃어버리다정신을 잃어버리셨나요?
3615,쉬다 -때 마음 읽다 끝,쉬는 시간에 마음을 읽었어,쉬다 -때 마음 읽다 끝쉬는 시간에 마음을 읽었어
3616,집 여러 가지 불,건물에 불이 났어요.,집 여러 가지 불건물에 불이 났어요.
3617,안심 사용 잘 안되다,안심이 안되네요.,안심 사용 잘 안되다안심이 안되네요.
3618,아기 모유 곳 여기,유아 수유실은 여기에 있습니까?,아기 모유 곳 여기유아 수유실은 여기에 있습니까?
3619,그네 안내하다 도와주다,그네 타는 것 좀 도와드릴까요?,그네 안내하다 도와주다그네 타는 것 좀 도와드릴까요?
3625,시간 곳 다음 도착 내리다,시간 지나서 내려드릴까요?,시간 곳 다음 도착 내리다시간 지나서 내려드릴까요?
3626,미래 곳 가다 곳 방법,미래로 가려면 어떻게 가나요?,미래 곳 가다 곳 방법미래로 가려면 어떻게 가나요?
3628,시간 곳 다음 보다 내리다,시간 지나서 내려주세요.,시간 곳 다음 보다 내리다시간 지나서 내려주세요.
3629,만나다 목적 학교 가다,만나기 위해 학교에 갔다,만나다 목적 학교 가다만나기 위해 학교에 갔다
3631,너 -보다 애 더 마르다,너보다 그 애가 더 말랐어,너 -보다 애 더 마르다너보다 그 애가 더 말랐어
3632,정신 실종 없다,정신을 잃어버렸습니다.,정신 실종 없다정신을 잃어버렸습니다.
3633,물건 말 어디,물건을 말해서 붙이고 싶은데 어디서 하나요?,물건 말 어디물건을 말해서 붙이고 싶은데 어디서 하나요?
3634,짜장 찍다 가다,짜장면 찍으러 갈래,짜장 찍다 가다짜장면 찍으러 갈래
3635,나 위험 결정 자유 원하다,자유롭게 모험을 다니고 싶다,나 위험 결정 자유 원하다자유롭게 모험을 다니고 싶다
3636,모두 꿈 쉽다 아니다,모든 꿈이 쉽게 이루어지지 않는다,모두 꿈 쉽다 아니다모든 꿈이 쉽게 이루어지지 않는다
3637,차 저기 곳 다음 도착 차내리다,차서 지나서 내려주세요.,차 저기 곳 다음 도착 차내리다차서 지나서 내려주세요.
3638,영어 사용 불가능,영어가 안되네요.,영어 사용 불가능영어가 안되네요.
3639,코 커,코가 너무 커,코 커코가 너무 커
3640,아기 병 갇히다,아이가 병에 갇혔어요.,아기 병 갇히다아이가 병에 갇혔어요.
3641,간 다음,간 지나서 내려주세요.,간 다음간 지나서 내려주세요.
3643,꿈 배우다 중에,꿈을 배우고 있어,꿈 배우다 중에꿈을 배우고 있어
3645,용기 찾다 실종,용기를 잃어버렸습니다.,용기 찾다 실종용기를 잃어버렸습니다.
3647,사랑 찾다 실종,사랑을 잃어버리셨나요?,사랑 찾다 실종사랑을 잃어버리셨나요?
3648,말 고장 사용 안되다,말이 안되나요?,말 고장 사용 안되다말이 안되나요?
3650,기억 잃어버리다 실종,기억을 잃어버렸습니다.,기억 잃어버리다 실종기억을 잃어버렸습니다.
3651,멀다 오다 벌써 보다,먼 길을 왔는데 그렇게 빨리 보려고?,멀다 오다 벌써 보다먼 길을 왔는데 그렇게 빨리 보려고?
3652,생각 해보다 내리다,고려대학교로 가주세요.,생각 해보다 내리다고려대학교로 가주세요.
3653,문 부르다,제가 문을 불렀습니다.,문 부르다제가 문을 불렀습니다.
3655,친구 놀다 곳 실종,친구를 공원에서 잃어버렸어요.,친구 놀다 곳 실종친구를 공원에서 잃어버렸어요.
3656,살 괜찮다 아마,살이면 괜찮겠지,살 괜찮다 아마살이면 괜찮겠지
3657,뜻,뜻이 달라서 많이 싸웠다,뜻뜻이 달라서 많이 싸웠다
3658,죽다 너무 더럽다,죽어 너무 더럽다,죽다 너무 더럽다죽어 너무 더럽다
3659,벽 타다,벽을 타다,벽 타다벽을 타다
3660,몸 물건 더럽다 들어오다,몸에 이물질이 들어갔어요.,몸 물건 더럽다 들어오다몸에 이물질이 들어갔어요.
3661,마음 안 도착,마음 안으로 들어갈까요?,마음 안 도착마음 안으로 들어갈까요?
3662,주인공 아프다 원인 모두 귀찮다,주인공이 아파서 다 귀찮다,주인공 아프다 원인 모두 귀찮다주인공이 아파서 다 귀찮다
3663,시작 다시,다시 시작해주세요.,시작 다시다시 시작해주세요.
3665,약 어느 시간 곳,약국은 언제에 있습니까?,약 어느 시간 곳약국은 언제에 있습니까?
3666,광고꼿광고다광고,광고를 매주세요.,광고꼿광고다광고광고를 매주세요.
3667,사슴 되다 빠르다,사슴이 되면 빠르다,사슴 되다 빠르다사슴이 되면 빠르다
3670,사랑 배우다 중에,사랑을 배우고 있어,사랑 배우다 중에사랑을 배우고 있어
3671,겨울 끝 태양 빨리 다가오다,겨울이 끝나면 태양이 온다,겨울 끝 태양 빨리 다가오다겨울이 끝나면 태양이 온다
3672,여자 숨 힘들다,여자가 숨을 안 쉬어요.,여자 숨 힘들다여자가 숨을 안 쉬어요.
3674,링크 안 곳,링크로 들어가주세요.,링크 안 곳링크로 들어가주세요.
3675,작별,작별입니다.,작별작별입니다.
3676,태양 곳,태양은 어디에 있습니까?,태양 곳태양은 어디에 있습니까?
3677,아기 모유 어느 시간 곳,유아 수유실은 언제에 있습니까?,아기 모유 어느 시간 곳유아 수유실은 언제에 있습니까?
3678,시간 다음 저기 곳 저기,시간 지나서 내려주세요.,시간 다음 저기 곳 저기시간 지나서 내려주세요.
3679,옛 과거 -보다 사람 많다,옛날보다 사람이 많이 왔네,옛 과거 -보다 사람 많다옛날보다 사람이 많이 왔네
3683,집중 사용 잘 안되다,집중이 안되나요?,집중 사용 잘 안되다집중이 안되나요?
3684,시대 살다,시대를 누리다,시대 살다시대를 누리다
3685,예 교환하다,다른 예를 주세요.,예 교환하다다른 예를 주세요.
3686,주인공 유치원 다니다 -중,주인공이 유치원을 다니고 있어,주인공 유치원 다니다 -중주인공이 유치원을 다니고 있어
3687,아기 먹다 오다,아기를 먹을것 같아요.,아기 먹다 오다아기를 먹을것 같아요.
3691,새끼 낳다 오다,새끼를 낳을것 같아요.,새끼 낳다 오다새끼를 낳을것 같아요.
3692,소화 불량 죽다,소화가 안되네요.,소화 불량 죽다소화가 안되네요.
3693,부인 대학 보내다,부인을 대학에 보내다,부인 대학 보내다부인을 대학에 보내다
3694,버스 여기 곳,시내버스 승강장은 여기에 있습니까?,버스 여기 곳시내버스 승강장은 여기에 있습니까?
3695,발 말 발바닥,말을 접질렀어요.,발 말 발바닥말을 접질렀어요.
3696,친구 딸 보다,내 친구가 딸을 보았어,친구 딸 보다내 친구가 딸을 보았어
3699,특별 곳 가깝다,근처에 특별 승강장이 있습니다.,특별 곳 가깝다근처에 특별 승강장이 있습니다.
3700,좌회전 하다,좌회전 하으시죠?,좌회전 하다좌회전 하으시죠?
3701,생각 끝 일 오늘 시작,생각했던 일을 실천했다,생각 끝 일 오늘 시작생각했던 일을 실천했다
3702,영어 고장 사용 불가능,영어가 안되네요.,영어 고장 사용 불가능영어가 안되네요.
3703,쥐 키우다,쥐를 키우다,쥐 키우다쥐를 키우다
3704,추가 안 가다,추가로 들어가주세요.,추가 안 가다추가로 들어가주세요.
3705,만들다 나다 시간 알려받다,생산 시간 좀 알려주세요.,만들다 나다 시간 알려받다생산 시간 좀 알려주세요.
3706,오늘 너 옆 맡다,오늘은 네가 옆을 맡아,오늘 너 옆 맡다오늘은 네가 옆을 맡아
3707,말 듣다 기분 좋다,말을 들었더니 기분이 좋다,말 듣다 기분 좋다말을 들었더니 기분이 좋다
3708,학교 곳 가다 무엇 방법,학교로 가려면 어떻게 가나요?,학교 곳 가다 무엇 방법학교로 가려면 어떻게 가나요?
3709,여행 끝 집 가다,여행을 끝내고 집에 갔어,여행 끝 집 가다여행을 끝내고 집에 갔어
3711,ㅈ 오늘 곳곳,지금은 어디에 있나요?,ㅈ 오늘 곳곳지금은 어디에 있나요?
3713,구름 곳 다음 여기,구름 지나서 내려드릴까요?,구름 곳 다음 여기구름 지나서 내려드릴까요?
3714,다시 만들다 기쁘다,다시 만들게 되어 정말 기쁘다,다시 만들다 기쁘다다시 만들게 되어 정말 기쁘다
3715,상대 고장 사용 불가능,상대가 안되네요.,상대 고장 사용 불가능상대가 안되네요.
3716,엄마 이야기 듣다 짜증,엄마한테 이야기를 들었더니 짜증나,엄마 이야기 듣다 짜증엄마한테 이야기를 들었더니 짜증나
3719,사람 뼈곳,사람이 어디에 있나요?,사람 뼈곳사람이 어디에 있나요?
3720,애인 보다 위하다 명동 가다,애인을 보러 명동에 갔다,애인 보다 위하다 명동 가다애인을 보러 명동에 갔다
3721,아기 젖병 무엇 곳,유아 수유실은 무엇에 있습니까?,아기 젖병 무엇 곳유아 수유실은 무엇에 있습니까?
3722,초밥 먹다 위하다 미국 가다,초밥을 먹기 위해 미국에 갔다,초밥 먹다 위하다 미국 가다초밥을 먹기 위해 미국에 갔다
3723,화장실 이것 곳 곳,화장실은 이곳에 있습니까?,화장실 이것 곳 곳화장실은 이곳에 있습니까?
3724,전기 힘 차내리다 가다,김포전력으로 갈까요?,전기 힘 차내리다 가다김포전력으로 갈까요?
3726,태양 곳,태양이 어디에 있나요?,태양 곳태양이 어디에 있나요?
3728,종이 이용 책 만들다,종이로 책을 만들다,종이 이용 책 만들다종이로 책을 만들다
3729,소매 날다 사라지다 실종,날개를 잃어버리셨나요?,소매 날다 사라지다 실종날개를 잃어버리셨나요?
3730,방향 목적 가다,김포방향으로 갈까요?,방향 목적 가다김포방향으로 갈까요?
3732,끝 찾다 가다,끝나고 밥 찾으러 가자,끝 찾다 가다끝나고 밥 찾으러 가자
3733,사랑 곳,사랑이 어디에 있나요?,사랑 곳사랑이 어디에 있나요?
3735,돈 보증 석방 잃어버리다 실종,보석을 분실하였습니다.,돈 보증 석방 잃어버리다 실종보석을 분실하였습니다.
3737,사람 곳 무겁다 깔리다,사람이 무거운 곳에 깔렸어요.,사람 곳 무겁다 깔리다사람이 무거운 곳에 깔렸어요.
3738,상자 안 가다,상자 안으로 들어갈까요?,상자 안 가다상자 안으로 들어갈까요?
3741,택시 이용 오천원,이용 요금은 오천원입니다.,택시 이용 오천원이용 요금은 오천원입니다.
3742,책 실종,책을 분실하셨나요?,책 실종책을 분실하셨나요?
3743,배 안 강아지 방치 두다,배 안에 강아지가 방치되어있어요.,배 안 강아지 방치 두다배 안에 강아지가 방치되어있어요.
3744,중,준비 중!,중준비 중!
3747,상대 잘 안되다 죽다,상대가 안되네요.,상대 잘 안되다 죽다상대가 안되네요.
3749,더럽다 빨리 먹다,더러우니까 빨리 먹어,더럽다 빨리 먹다더러우니까 빨리 먹어
3750,줄 만들다,줄을 짜다,줄 만들다줄을 짜다
3751,하늘 보다 설명 편하다,하늘을 보면 설명이 편하다,하늘 보다 설명 편하다하늘을 보면 설명이 편하다
3752,배 안내하다 도움받다,배 타는 것 좀 도와주세요.,배 안내하다 도움받다배 타는 것 좀 도와주세요.
3754,이익 손해 고장 사용 불가능,이해가 안되네요.,이익 손해 고장 사용 불가능이해가 안되네요.
3755,무리 다니다 -중,무리를 다니고 있어,무리 다니다 -중무리를 다니고 있어
3757,개 먹다 슬프다,강아지가 먹어서 슬펐다,개 먹다 슬프다강아지가 먹어서 슬펐다
3758,여행 정보 묻다 무엇 곳,관광안내소는 무엇에 있습니까?,여행 정보 묻다 무엇 곳관광안내소는 무엇에 있습니까?
3762,소화 잘 안되다 죽다,소화가 안되네요.,소화 잘 안되다 죽다소화가 안되네요.
3764,원하다,원하고 있니,원하다원하고 있니
3765,신 어디,신은 어디에 있습니까?,신 어디신은 어디에 있습니까?
3766,기억 제발,제발 기억해,기억 제발제발 기억해
3768,예쁘다 빛나다,영광입니다.,예쁘다 빛나다영광입니다.
3769,오늘 일 나 겪다,이번 임무는 내가 직접 겪는다,오늘 일 나 겪다이번 임무는 내가 직접 겪는다
3770,수고 끝 일 오늘 시작,수고했던 일을 실천했다,수고 끝 일 오늘 시작수고했던 일을 실천했다
3771,생각 없애다 살다,평화를 누리다,생각 없애다 살다평화를 누리다
3773,배 길 침몰,항로가 침몰하고 있어요.,배 길 침몰항로가 침몰하고 있어요.
3774,태어나다 날 다르다 이혼,생일이 달라서 이혼했다,태어나다 날 다르다 이혼생일이 달라서 이혼했다
3775,태양 무엇,태양이 어디에 있나요?,태양 무엇태양이 어디에 있나요?
3776,수업 시간,수업 시간했어,수업 시간수업 시간했어
3777,자신 찾다 실종,자신을 잃어버리셨나요?,자신 찾다 실종자신을 잃어버리셨나요?
3779,ㅈ 오늘 무엇 길,지금은 어디에 있나요?,ㅈ 오늘 무엇 길지금은 어디에 있나요?
3780,한국 안 착륙 곳 그 곳,국내선 입국장이 저기에 있습니까?,한국 안 착륙 곳 그 곳국내선 입국장이 저기에 있습니까?
3781,우리 둘 회사 같다,우리는 같은 회사에 다닌다,우리 둘 회사 같다우리는 같은 회사에 다닌다
3782,영어 꼿다,영어를 매주세요.,영어 꼿다영어를 매주세요.
3785,아기 모유 무엇,유아 수유실은 무엇에 있습니까?,아기 모유 무엇유아 수유실은 무엇에 있습니까?
3786,사람 싫다 밉다 중요,인간혐오는 중요하다,사람 싫다 밉다 중요인간혐오는 중요하다
3788,남자 생각 마지막 거절,그는 오랜 생각끝에 거절했다,남자 생각 마지막 거절그는 오랜 생각끝에 거절했다
3789,생각 식 꼿다,주의를 매주세요.,생각 식 꼿다주의를 매주세요.
3791,배우다 곳 다니다 -중,학원를 다니고 있어,배우다 곳 다니다 -중학원를 다니고 있어
3794,바람 곳 다음 도착 차내리다,바람 지나서 내려드릴까요?,바람 곳 다음 도착 차내리다바람 지나서 내려드릴까요?
3795,가위 이용 꽃 만들다,가위로 꽃을 만들다,가위 이용 꽃 만들다가위로 꽃을 만들다
3797,사랑 잃어버리다 실종,사랑을 잃어버리셨나요?,사랑 잃어버리다 실종사랑을 잃어버리셨나요?
3798,차 여기 되다,여기서 차를 탈 수 있나요?,차 여기 되다여기서 차를 탈 수 있나요?
3799,성 고장 안되다,성 인식이 안되나요?,성 고장 안되다성 인식이 안되나요?
3800,읽다 집 전 내리다,도서관 못가서 내려주세요.,읽다 집 전 내리다도서관 못가서 내려주세요.
3801,선택 복수 힘들다,선택을 동시에 하려니 힘들다,선택 복수 힘들다선택을 동시에 하려니 힘들다
3802,둘 입장 원인 헤어지다,두 사람은 입장차이로 헤어졌다,둘 입장 원인 헤어지다두 사람은 입장차이로 헤어졌다
3803,간 곳 다음 도착 차내리다,간 지나서 내려주세요.,간 곳 다음 도착 차내리다간 지나서 내려주세요.
3804,오늘 곳 무엇,오늘은 어디에 있나요?,오늘 곳 무엇오늘은 어디에 있나요?
3805,한국 안 이륙 여기 곳,국내선 출국장이 여기에 있습니까?,한국 안 이륙 여기 곳국내선 출국장이 여기에 있습니까?
3806,지금 도 불편하다,지금 도가 너무 불편해,지금 도 불편하다지금 도가 너무 불편해
3808,한국 사람 혼자 살다 불가능,한국인은 혼자서 살 수 없다,한국 사람 혼자 살다 불가능한국인은 혼자서 살 수 없다
3809,이익 손해 가능,이해 할 수 있을까요?,이익 손해 가능이해 할 수 있을까요?
3811,캐리어 카드 어디 곳,캐리어 카드를 재는 곳은 어디인가요?,캐리어 카드 어디 곳캐리어 카드를 재는 곳은 어디인가요?
3812,항공 표 받다 여기 곳,발권 카운터는 여기에 있나요?,항공 표 받다 여기 곳발권 카운터는 여기에 있나요?
3814,천지 모두 차내리다 가다,우주로 가주세요.,천지 모두 차내리다 가다우주로 가주세요.
3816,햄버거 곳 여기,패스트푸드는 여기에 있습니까?,햄버거 곳 여기패스트푸드는 여기에 있습니까?
3818,나쁘다 뜻 치료하다,나쁜 뜻을 고치다,나쁘다 뜻 치료하다나쁜 뜻을 고치다
3819,대회 끝,대회를 마치다,대회 끝대회를 마치다
3820,일 끝 도망치다 원하다,일을 빨리 끝내고 도망치고 싶어,일 끝 도망치다 원하다일을 빨리 끝내고 도망치고 싶어
3821,개 바나나 바나나다귀 삼키다,강아지가 바나나를 삼켰어요.,개 바나나 바나나다귀 삼키다강아지가 바나나를 삼켰어요.
3822,배꼽 크다,배꼽이 크다,배꼽 크다배꼽이 크다
3825,눈 끄다,눈을 꺼드릴까요?,눈 끄다눈을 꺼드릴까요?
3827,누가 건물 출발,어떤 사람이 건물에서 출발했어요.,누가 건물 출발어떤 사람이 건물에서 출발했어요.
3828,미소 나다 나 말해 약속,미소가 생기면 나한테 말해,미소 나다 나 말해 약속미소가 생기면 나한테 말해
3829,사람 위험 물건 중요,인간흉기는 중요하다,사람 위험 물건 중요인간흉기는 중요하다
3832,종이 이용 꽃 그리다,종이로 꽃을 그리다,종이 이용 꽃 그리다종이로 꽃을 그리다
3834,빌다 부탁 전 곳,제발 못가서 내려주세요.,빌다 부탁 전 곳제발 못가서 내려주세요.
3836,사거리 사격,사거리에서 사격 해드릴까요?,사거리 사격사거리에서 사격 해드릴까요?
3837,감사 잘 살다,어머나 고마워요 잘 살겠습니다,감사 잘 살다어머나 고마워요 잘 살겠습니다
3839,영어 먹다 원하다,영어를 먹고 싶어,영어 먹다 원하다영어를 먹고 싶어
3840,방송 시작 심심하다,방송이 시작했는데 심심하다,방송 시작 심심하다방송이 시작했는데 심심하다
3841,사람 각각 모양 다르다,사람들은 각각 모양이 다르다,사람 각각 모양 다르다사람들은 각각 모양이 다르다
3842,은행 곳 어느 시간,은행은 언제에 있습니까?,은행 곳 어느 시간은행은 언제에 있습니까?
3843,생명 몸 불량 잘 안되다,생체 인식이 안되나요?,생명 몸 불량 잘 안되다생체 인식이 안되나요?
3844,몸 아프다 여행 가다 오다,아파서 여행에 다녀왔어,몸 아프다 여행 가다 오다아파서 여행에 다녀왔어
3845,천지 모두 가다 내리다,우주로 가주세요.,천지 모두 가다 내리다우주로 가주세요.
3846,공장 일 저기,공업 단지 안으로 가주세요.,공장 일 저기공업 단지 안으로 가주세요.
3847,수화 방송 필요 신청 방법,수화방송을 요청하고 싶습니다.,수화 방송 필요 신청 방법수화방송을 요청하고 싶습니다.
3848,미래 잊다,미래가 무엇인지 잊어버렸다,미래 잊다미래가 무엇인지 잊어버렸다
